"FileID","Verb","Complement","MatrixVerb","Aktionsart","CorpusExample"
"G74","argue","to","begin","activity","in the bleakest moments of gloom , many people are fearful , convinced that political leaders are swayed by the formidable demands of belligerent generals for newer , bigger , more deadly weapons , and that they are swayed because the scientific and technological advances in weapons have made it impossible for lay politicians to resist or even <begin to argue> against such demands ."
"F25","assemble","to","begin","activity","the natives were professing friendship , but de Soto suspected treachery , especially when they <began to assemble> powerful forces on the pretext that they had come to honour the strangers by staging a ceremonial parade ."
"J57","attend","ing","begin","activity","Moltke <began attending> conferences on 26th January , the day after his rebuff by the Emperor ."
"K22","babble","to","begin","activity","I <began to babble> about being a nuisance - but it was too late ."
"E15","bash","ing","start","activity","better take him up to the front and have first cut at that fence before the others <start bashing> it ."
"P24","beat","to","begin","activity","I <began to beat> my hands against the slime-covered walls ."
"A37","behave","ing","start","activity","obviously , I should think , by taking their councillors on one side and telling them it is time they <started behaving> like intelligent adults ."
"L22","bind","to","begin","activity","with sudden decision she <began to bind> and gag Anne ."
"N19","bite","ing","start","activity","as Juarez opened the door the President suddenly <started biting> at his lower lip ."
"A33","box","ing","begin","activity","the 23-year-old Rodriguez who is a former Californian cruiserweight champion , <began boxing> as a professional in 1956 and has a record that is liberally sprinkled with inside-the-distance victories ."
"L21","brush","ing","begin","activity","Ellie was devoted to the children and <began brushing> Caroline's hair and tying it in ribbons ."
"E17","build","to","start","activity","we are preparing for 1964 ( the Olympic games ) , and it is no use <starting to build> up in 1963 . '"
"E14","buy","ing","start","activity","when first I decided to take up budgerigar breeding I was in no particular hurry to <start buying> birds ."
"K09","call","to","begin","activity","he <began to call> out , ~ ` little bird , where are you ? ' and came down from his wagon as if searching for it in the crowd ."
"K23","call","ing","start","activity","three weeks later she <started calling> herself Sonia ."
"F12","chase","to","begin","activity","as I was seeing them to their car a great snake rose out of the hole and <began to chase> us round the field ."
"N19","clean","ing","start","activity","he bent down once again and <started cleaning> his rifle bolt ."
"N08","climb","to","begin","activity","I took her by the hand , went quickly over to the stairs , <began to climb> , placing my feet carefully on each step , keeping close in the deep shadow of the balustrade and at the top of the stairs I stopped , bent double and looked each way along the length of the landing , along the dim empty silence of it ."
"P04","climb","to","begin","activity","but presently they <began to climb> up a twisting road ."
"R02","climb","to","start","activity","he <started to climb> the stairs , stamping with unnecessary vigour upon the treads ."
"R09","climb","to","begin","activity","the snake got its head up my sleeve and <began to climb> up my arm ."
"R09","climb","ing","start","activity","readers who have been in this particular situation will know that , once a serpent has <started climbing> up your arm under your sleeve , it matters little how much of the serpent is left in your pocket ; you can not get it back into the pocket by using the arm it is climbing up , and you can not bring your other hand into play against it without taking your sweater off , which - leaving snakes and schoolmasters out of it - I defy anyone to do with one hand in his pocket ."
"N18","close","to","begin","activity","she got out , and was <beginning to close> the door when she saw that the next one was opening , and a man's startled face was gazing at her ."
"G21","collect","to","start","activity","I seized the opportunity afforded by Cambridge of <starting to collect> books ; I still have my eighteenth-century editions of Swift , Pope , Hudibras and the spectator which I bought in 1897 off Mr David's famous stall in the Market Place ."
"E14","consider","to","begin","activity","now was the time to exchange theory for practice , and I <began to consider> how and where I was going to house my stock ."
"F06","count","to","begin","activity","unchivalrously , the husbands who had to provide such innocent indulgences eventually <began to count> the cost ."
"P16","count","ing","start","activity","` you 'll be <starting counting> days to your holiday soon , Jane , ' he said cheerfully ."
"F14","court","ing","begin","activity","Keith and Violet , like Brian and Pam Annandale , and so many other youngsters , met at school and <began courting> at 15 ."
"F14","court","ing","start","activity","they <started courting> at 14 , and at 15 decided to get married as soon as they were of age ."
"J22","cry","to","begin","activity","a Zulu woman may suddenly <begin to cry> out ` Hayi ! Hayi ! Hayi ! ' or ` Zza ! Zza ! Zza ! ' or to make guttural grunting screams ."
"E30","cut","ing","start","activity","then the co-operative store - just two doors away from them - <started cutting> prices and making many special offers ."
"K28","cut","to","begin","activity","comforted , keeping himself fastidiously from contact with his wife or his wife's chair , he <began to cut> his meat into smaller and smaller pieces ."
"P09","dab","ing","begin","activity","Pauline stooped and <began dabbing> at the water on the carpet with a scarf she had pulled from her neck ."
"C10","dance","ing","start","activity","then he <started dancing> again ."
"A36","do","to","start","activity","` criticism was levelled at us for going back on what we had <started to do> , but we have got to be realists ."
"J68","do","to","begin","activity","for - and here I come at last to the very heart of my subject - the Czechs and Poles have always shared the culture of western Europe , including its music , whereas the Russians <began to do> so only in the second half of the eighteenth century ."
"L17","drive","ing","begin","activity","Loddon realized his weight was just not good enough when Morris <began driving> him back ."
"N21","eat","to","begin","activity","ignoring the knife and fork , he picked up the meat pie , and , breaking it in two , <began to eat> ."
"K22","edge","to","begin","activity","Laura <began to edge> backwards against the surge towards the gangway ."
"N19","examine","to","begin","activity","Santago now <began to examine> the bolt of his rifle ."
"N28","fill","to","begin","activity","she had moved the soup-kettle to one side and now <began to fill> the cauldron on the hob ."
