"Word","Little","Small","c","d","GStat","Association"
"number",23,1118,36421,30126,1553.12867434465,"small"
"group",123,1089,36321,30155,1057.18535981462,"small"
"amount",7,670,36437,30574,974.343934538626,"small"
"business",36,784,36408,30460,971.217789369486,"small"
"firm",15,456,36429,30788,594.111949732124,"small"
"proportion",0,332,36444,30912,515.23547796708,"small"
"scale",1,265,36443,30979,399.015602188227,"small"
"company",15,316,36429,30928,386.621472098963,"small"
"area",15,302,36429,30942,366.158720674227,"small"
"mammal",0,203,36444,31041,314.583500330526,"small"
"minority",0,199,36444,31045,308.371007153296,"small"
"bowel",0,198,36444,31046,306.817970833461,"small"
"town",135,510,36309,30734,296.604404414716,"small"
"quantity",0,191,36444,31053,295.94769052552,"small"
"part",64,349,36380,30895,264.16971910229,"small"
"intestine",0,161,36444,31083,249.380068130209,"small"
"print",1,164,36443,31080,243.063030314553,"small"
"hour",0,150,36444,31094,232.313106312483,"small"
"size",1,142,36443,31102,209.218805149133,"small"
"farmer",2,142,36442,31102,201.292829775781,"small"
"sample",3,143,36441,31101,195.908820579274,"small"
"percentage",0,114,36444,31130,176.486946505145,"small"
"child",179,441,36265,30803,159.715051761843,"small"
"sum",1,88,36443,31156,126.465665681356,"small"
"fortune",2,88,36442,31156,119.485487791474,"small"
"investor",0,74,36444,31170,114.510544057607,"small"
"fraction",1,77,36443,31167,109.69231186869,"small"
"businessman",1,72,36443,31172,102.08216834289,"small"
"team",7,88,36437,31156,94.8636530336693,"small"
"price",1,66,36443,31178,92.9638478080327,"small"
"increase",5,78,36439,31166,89.0992145835898,"small"
"community",23,116,36421,31128,83.2769903726144,"small"
"claim",3,66,36441,31178,81.1503622709601,"small"
"piece",130,276,36314,30968,79.0462996889329,"small"
"farm",15,95,36429,31149,77.9483575545413,"small"
"dose",0,49,36444,31195,75.8033991007482,"small"
"population",0,49,36444,31195,75.8033991007482,"small"
"garden",31,123,36413,31121,74.048003540096,"small"
"step",16,93,36428,31151,72.7864034433711,"small"
"section",8,73,36436,31171,70.6288813622017,"small"
"party",38,131,36406,31113,69.6212466518607,"small"
