"Word","Girl","Boy","c","d","GStat","Association"
"old",257,634,7296,5385,279.98319469086,"boy"
"small",81,336,7472,5683,237.784745909544,"boy"
"dear",45,126,7508,5893,61.2988653144162,"boy"
"lost",1,41,7552,5978,58.5439253593461,"boy"
"big",89,167,7464,5852,46.0174481859069,"boy"
"naughty",22,71,7531,5948,39.754418210081,"boy"
"new",69,124,7484,5895,31.3076259352673,"boy"
"rude",0,19,7553,6000,30.9307617935645,"boy"
"toy",0,16,7553,6003,26.0425067981658,"boy"
"whipping",0,14,7553,6005,22.7845983619957,"boy"
"bad",31,64,7522,5955,20.562644327856,"boy"
"wide",0,12,7553,6007,19.527432091464,"boy"
"islamic",0,10,7553,6009,16.2710076300441,"boy"
"wee",18,42,7535,5977,16.1649994222956,"boy"
"suitable",1,12,7552,6007,13.6469259421798,"boy"
"bright",12,30,7541,5989,12.6348968649346,"boy"
"low",0,7,7553,6012,11.3877610507587,"boy"
"principal",0,7,7553,6012,11.3877610507587,"boy"
"blue",0,6,7553,6013,9.76038270977659,"boy"
"celtic",0,6,7553,6013,9.76038270977659,"boy"
"kritian",0,6,7553,6013,9.76038270977659,"boy"
"ole",0,6,7553,6013,9.76038270977659,"boy"
"precious",0,6,7553,6013,9.76038270977659,"boy"
"whip",0,6,7553,6013,9.76038270977659,"boy"
"curly-haired",0,5,7553,6014,8.13318955407566,"boy"
"forensic",0,5,7553,6014,8.13318955407566,"boy"
"senior",13,26,7540,5993,7.89280499874216,"boy"
"twelve-year-old",2,10,7551,6009,7.79908101436923,"boy"
"large",2,9,7551,6010,6.55384592887632,"boy"
"good",383,366,7170,5653,6.51838534134825,"boy"
"affected",0,4,7553,6015,6.50618153921851,"boy"
"cornish",0,4,7553,6015,6.50618153921851,"boy"
"individual",0,4,7553,6015,6.50618153921851,"boy"
"national",0,4,7553,6015,6.50618153921851,"boy"
"power-station",0,4,7553,6015,6.50618153921851,"boy"
"wonder",0,4,7553,6015,6.50618153921851,"boy"
"12-year-old",9,18,7544,6001,5.45940741262145,"boy"
"two-year-old",6,14,7547,6005,5.37252153388667,"boy"
"living",1,6,7552,6013,5.19005659618112,"boy"
"fat",19,29,7534,5990,5.0038852698048,"boy"
"18-month-old",0,3,7553,6016,4.87935862078051,"boy"
"accused",0,3,7553,6016,4.87935862078051,"boy"
"athletic",0,3,7553,6016,4.87935862078051,"boy"
"colonial",0,3,7553,6016,4.87935862078051,"boy"
"common",0,3,7553,6016,4.87935862078051,"boy"
"cruel",0,3,7553,6016,4.87935862078051,"boy"
"difficult",0,3,7553,6016,4.87935862078051,"boy"
"dyslexic",0,3,7553,6016,4.87935862078051,"boy"
"even",0,3,7553,6016,4.87935862078051,"boy"
"flying",0,3,7553,6016,4.87935862078051,"boy"
"green-eyed",0,3,7553,6016,4.87935862078051,"boy"
"kilted",0,3,7553,6016,4.87935862078051,"boy"
"laugh",0,3,7553,6016,4.87935862078051,"boy"
"lose",0,3,7553,6016,4.87935862078051,"boy"
"moody",0,3,7553,6016,4.87935862078051,"boy"
"newborn",0,3,7553,6016,4.87935862078051,"boy"
"okay",0,3,7553,6016,4.87935862078051,"boy"
"pure",0,3,7553,6016,4.87935862078051,"boy"
"romanian",0,3,7553,6016,4.87935862078051,"boy"
"somali",0,3,7553,6016,4.87935862078051,"boy"
"troublesome",0,3,7553,6016,4.87935862078051,"boy"
"eldest",13,22,7540,5997,4.84627186726918,"boy"
"blue-eyed",2,7,7551,6012,4.19547665746597,"boy"
"delinquent",2,7,7551,6012,4.19547665746597,"boy"
"head",43,52,7510,5967,4.14785825493151,"boy"
"working-class",23,33,7530,5986,4.8055631169699,"boy"
"ten-year-old",7,14,7546,6005,4.2443252740873,"boy"
"eight-year-old",9,16,7544,6003,3.90426853088557,"boy"
"healthy",3,8,7550,6011,3.63774151968207,"boy"
"popular",5,4,7548,6015,3.34742063660479e-05,"boy"
"unfortunate",5,4,7548,6015,3.34742063660479e-05,"boy"
