"Word","Frequency"
"increase",219
"change",154
"conclusion",152
"development",133
"loss",123
"problem",122
"death",114
"formation",110
"reduction",105
"improvement",89
"confusion",80
"creation",76
"number",66
"award",64
"rise",63
"discovery",62
"fall",61
"result",61
"decline",60
"growth",60
"demand",57
"speculation",55
"establishment",53
"collapse",51
"difficulty",51
"situation",51
"qualification",49
"decision",48
"job",48
"war",48
"understanding",47
"use",46
"arrest",45
"action",43
"people",42
"call",38
"degree",38
"level",37
"outcome",36
"production",36
"resignation",36
"price",35
"destruction",34
"government",34
"publication",34
"suggestion",34
"breakdown",33
"form",32
"dismissal",31
"conviction",30
"kind",30
"closure",29
"deterioration",29
"disaster",29
"expansion",29
"identification",29
"introduction",29
"pressure",28
"question",28
"success",28
"failure",27
"series",27
"conflict",26
"house",26
"interest",26
"policy",25
"setting",25
"crisis",24
"decrease",24
"lack",24
"appointment",23
"discussion",23
"misunderstanding",23
"state",23
"violence",23
"withdrawal",23
"abandonment",22
"accident",22
"door",22
"drop",22
"efficiency",22
"prediction",22
"recognition",22
"thing",22
"accusation",21
"adoption",21
"behaviour",21
"belief",21
"consideration",21
"cost",21
"demise",21
"dispute",21
"downfall",21
"feeling",21
"frustration",21
"prosecution",21
"solution",21
"suspension",21
"view",21
"agreement",20
"end",20
"idea",20
"point",20
"release",20
"removal",20
"world",20
"certificate",19
"chaos",19
"concentration",19
"confrontation",19
"cut",19
"debate",19
"distortion",19
"service",19
"tension",19
"way",19
"absurdity",18
"assumption",18
"clash",18
"deal",18
"departure",18
"emergence",18
"goal",18
"heart",18
"possibility",18
"rejection",18
"village",18
"error",17
"lot",17
"proposal",17
"quality",17
"replacement",17
"sort",17
"unemployment",17
"acceptance",16
"attempt",16
"awareness",16
"claim",16
"condition",16
"consequence",16
"criticism",16
"depression",16
"diagnosis",16
"family",16
"farm",16
"inflation",16
"integration",16
"investment",16
"position",16
"public",16
"summit",16
"child",15
"concept",15
"court",15
"crime",15
"damage",15
"difference",15
"effect",15
"examination",15
"expectation",15
"extinction",15
"fear",15
"illness",15
"performance",15
"response",15
"revision",15
"revival",15
"saving",15
"search",15
"alteration",14
"approach",14
"charge",14
"definition",14
"disease",14
"election",14
"erosion",14
"injury",14
"order",14
"outbreak",14
"pattern",14
"practice",14
"rate",14
"relationship",14
"variation",14
"variety",14
"year",14
"advance",13
"argument",13
"cell",13
"choice",13
"comparison",13
"competition",13
"contact",13
"control",13
"delay",13
"disintegration",13
"disorder",13
"division",13
"floor",13
"garden",13
"market",13
"need",13
"range",13
"return",13
"room",13
"sense",13
"set",13
"strike",13
"system",13
"transfer",13
"type",13
"accumulation",12
"appearance",12
"application",12
"appreciation",12
"capture",12
"career",12
"disruption",12
"explosion",12
"group",12
"inefficiency",12
"investigation",12
"involvement",12
"legislation",12
"meeting",12
"move",12
"patient",12
"period",12
"reform",12
"revolution",12
"riot",12
"sales",12
"selection",12
"split",12
"standard",12
"trade",12
"union",12
"unrest",12
"activity",11
"amount",11
"area",11
"back",11
"break-up",11
"defeat",11
"effort",11
"equation",11
"foundation",11
"individual",11
"modification",11
"place",11
"population",11
"programme",11
"proliferation",11
"reappraisal",11
"resolution",11
"review",11
"row",11
"shift",11
"theory",11
"work",11
"birth",10
"company",10
"complaint",10
"concern",10
"contract",10
"degradation",10
"duplication",10
"enquiry",10
"exchange",10
"friendship",10
"health",10
"honour",10
"imposition",10
"imprisonment",10
"infection",10
"isolation",10
"murder",10
"offer",10
"other",10
"plan",10
"process",10
"provision",10
"redundancy",10
"settlement",10
"treatment",10
"water",10
"woman",10
"achievement",9
"aids",9
"allocation",9
"anxiety",9
"assessment",9
"ban",9
"battle",9
"bedroom",9
"bridge",9
"building",9
"cancer",9
"controversy",9
"disagreement",9
"dissatisfaction",9
"disturbance",9
"emphasis",9
"evacuation",9
"evolution",9
"food",9
"general",9
"hall",9
"implementation",9
"intervention",9
"kitchen",9
"knowledge",9
"life",9
"lowering",9
"movement",9
"neglect",9
"observation",9
"opposition",9
"overthrow",9
"power",9
"product",9
"questioning",9
"rear",9
"recovery",9
"report",9
"river",9
"scepticism",9
"statement",9
"stone",9
"study",9
"threat",9
"town",9
"tragedy",9
"value",9
"weakening",9
"welfare",9
"abolition",8
"act",8
"beach",8
"book",8
"breach",8
"business",8
"case",8
"church",8
"commitment",8
"compromise",8
"council",8
"diminution",8
"divergence",8
"drug",8
"exemption",8
"exposure",8
"final",8
"gain",8
"ground",8
"home",8
"innovation",8
"inquiry",8
"interference",8
"interpretation",8
"judgement",8
"opening",8
"opportunity",8
"picture",8
"poverty",8
"profit",8
"purchase",8
"recession",8
"record",8
"relation",8
"restoration",8
"rioting",8
"sacking",8
"safety",8
"strategy",8
"suicide",8
"term",8
"training",8
"transformation",8
"trouble",8
"uncertainty",8
"warning",8
"acquisition",7
"bankruptcy",7
"basement",7
"benefit",7
"board",7
"body",7
"campaign",7
"cessation",7
"complication",7
"conception",7
"contradiction",7
"conversion",7
"customer",7
"energy",7
"estimate",7
"event",7
"expression",7
"extension",7
"field",7
"fire",7
"flat",7
"fluctuation",7
"formulation",7
"founding",7
"fragmentation",7
"gap",7
"generation",7
"hardship",7
"hope",7
"insight",7
"invitation",7
"issue",7
"line",7
"measure",7
"migration",7
"mistake",7
"money",7
"monopoly",7
"obesity",7
"overall",7
"peace",7
"police",7
"present",7
"progress",7
"protest",7
"punishment",7
"reaction",7
"recommendation",7
"reliance",7
"research",7
"restriction",7
"resurgence",7
"risk",7
"road",7
"security",7
"separation",7
"spate",7
"station",7
"stress",7
"structure",7
"student",7
"suspicion",7
"thought",7
"tower",7
"wave",7
"altar",6
"announcement",6
"appeal",6
"attack",6
"attitude",6
"authority",6
"bathroom",6
"biase",6
"blood",6
"boy",6
"build-up",6
"capital",6
"city",6
"closing",6
"club",6
"commission",6
"community",6
"completion",6
"construction",6
"conversation",6
"country",6
"curriculum",6
"data",6
"debt",6
"declaration",6
"demonstration",6
"dependency",6
"depletion",6
"detection",6
"diploma",6
"disappearance",6
"dissolution",6
"employment",6
"entrance",6
"execution",6
"exodus",6
"exploitation",6
"expulsion",6
"fine",6
"flow",6
"freedom",6
"friction",6
"gate",6
"incident",6
"income",6
"independence",6
"inequality",6
"instability",6
"intensification",6
"man",6
"mass",6
"master",6
"miscarriage",6
"model",6
"novel",6
"oil",6
"outcry",6
"output",6
"parliament",6
"participation",6
"party",6
"passing",6
"perspective",6
"pollution",6
"preference",6
"pregnancy",6
"privatisation",6
"proceeding",6
"project",6
"quarrel",6
"regression",6
"relaxation",6
"renewal",6
"requirement",6
"retirement",6
"reversal",6
"scene",6
"school",6
"shortage",6
"side",6
"slump",6
"staff",6
"symptom",6
"takeover",6
"theme",6
"top",6
"ulcer",6
"weight",6
"abnormality",5
"abuse",5
"acid",5
"activation",5
"adaptation",5
"adjustment",5
"ambiguity",5
"association",5
"attic",5
"avoidance",5
"balance",5
"bar",5
"break",5
"cancellation",5
"car",5
"cash",5
"class",5
"classification",5
"climate",5
"communication",5
"complacency",5
"condensation",5
"congestion",5
"consumer",5
"consumption",5
"corruption",5
"danger",5
"denial",5
"dependence",5
"design",5
"dilution",5
"discharge",5
"discrimination",5
"disqualification",5
"distress",5
"domination",5
"elimination",5
"encroachment",5
"equilibrium",5
"evidence",5
"exaggeration",5
"excess",5
"exhaustion",5
"experience",5
"experiment",5
"explanation",5
"flight",5
"flood",5
"flooding",5
"fusion",5
"game",5
"grief",5
"hamlet",5
"hospital",5
"hostility",5
"housing",5
"hypothesis",5
"impression",5
"industry",5
"injustice",5
"inspection",5
"invention",5
"law",5
"lessening",5
"litigation",5
"living",5
"marriage",5
"memory",5
"misery",5
"muscle",5
"notion",5
"objective",5
"office",5
"omission",5
"operation",5
"organisation",5
"part",5
"person",5
"polarization",5
"potential",5
"productivity",5
"promotion",5
"rebellion",5
"repression",5
"request",5
"resentment",5
"resistance",5
"resumption",5
"revelation",5
"role",5
"rule",5
"sea",5
"signing",5
"soil",5
"spot",5
"start",5
"stream",5
"street",5
"support",5
"talk",5
"tear",5
"tendency",5
"termination",5
"test",5
"tightening",5
"transmission",5
"truth",5
"underestimation",5
"victory",5
"worker",5
"writing",5
"absence",4
"acceleration",4
"account",4
"acquittal",4
"addiction",4
"aggression",4
"air",4
"alienation",4
"amendment",4
"anarchy",4
"arm",4
"bank",4
"bed",4
"beng",4
"blindness",4
"blow",4
"boycott",4
"breakthrough",4
"breakup",4
"bsc",4
"cabin",4
"cabinet",4
"chain",4
"circle",4
"co-operation",4
"collection",4
"comment",4
"concession",4
"confidence",4
"confirmation",4
"convergence",4
"cooperation",4
"correlation",4
"corridor",4
"courtyard",4
"crack",4
"crash",4
"day",4
"dehydration",4
"denunciation",4
"deposition",4
"description",4
"desire",4
"dialogue",4
"disappointment",4
"disclosure",4
"discrepancy",4
"displacement",4
"display",4
"disregard",4
"distribution",4
"dividend",4
"divorce",4
"doubling",4
"dropping",4
"elevation",4
"emancipation",4
"embarrassment",4
"enactment",4
"enhancement",4
"eruption",4
"escalation",4
"evaluation",4
"exit",4
"expenditure",4
"expense",4
"fact",4
"fatigue",4
"fight",4
"film",4
"focus",4
"foot",4
"force",4
"formula",4
"fracture",4
"fuel",4
"future",4
