"Year","Language","FreqMarx","FreqAll","ProbMarx"
1871,"english",24,560339562,0.00000004283117171727
1872,"english",192,566620105,0.00000033885137203171
1873,"english",56,583981485,0.00000009589345114255
1874,"english",224,636667506,0.00000035183199690421
1875,"english",32,643873731,0.00000004969918550692
1876,"english",68,676820039,0.00000010046983848243
1877,"english",88,667722549,0.00000013179126589598
1878,"english",416,629401874,0.00000066094496566434
1879,"english",564,654448581,0.00000086179421328748
1880,"english",392,784223075,0.00000049985777324902
1881,"english",504,789254798,0.00000063857704923322
1882,"english",424,828502461,0.00000051176673571764
1883,"english",936,930196929,0.00000100623854026936
1884,"english",804,881638914,0.00000091193796829163
1885,"english",844,857166435,0.00000098463958169337
1886,"english",1096,727723136,0.00000150606727446412
1887,"english",756,801865869,0.00000094280107088584
1888,"english",728,795886071,0.00000091470378302424
1889,"english",556,763170247,0.00000072853993219157
1890,"english",1020,787152479,0.00000129580993163588
1891,"english",2180,849750639,0.00000256545850034954
1892,"english",1268,936056142,0.00000135461960357502
1893,"english",1396,915629979,0.00000152463334755010
1894,"english",1664,899615494,0.00000184967912524637
1895,"english",1416,984856075,0.00000143777353457458
1896,"english",1120,1050921103,0.00000106573176311980
1897,"english",792,1031909734,0.00000076750899221579
1898,"english",1832,1109257706,0.00000165155490026409
1899,"english",1496,1232717908,0.00000121357854079297
1900,"english",1604,1341057959,0.00000119607060174794
1901,"english",1952,1285712637,0.00000151822416909168
1902,"english",1732,1311315033,0.00000132081151852394
1903,"english",1680,1266236889,0.00000132676595871944
1904,"english",1296,1405505328,0.00000092208828681153
1905,"english",1448,1351302005,0.00000107155912937464
1906,"english",3392,1397090480,0.00000242790287999099
1907,"english",3948,1409945274,0.00000280010867996285
1908,"english",4096,1417130893,0.00000289034698222474
1909,"english",2996,1283265090,0.00000233466960439172
1910,"english",4868,1354824248,0.00000359308597198948
1911,"english",3852,1350964981,0.00000285129522539415
1912,"english",4816,1431385638,0.00000336457197288157
1913,"english",2736,1356693322,0.00000201666799388875
1914,"english",3696,1324894757,0.00000278965554091932
1915,"english",2288,1211361619,0.00000188878363332065
1916,"english",2668,1175413415,0.00000226983967168692
1917,"english",2232,1183132092,0.00000188651801019695
1918,"english",3328,1039343103,0.00000320202249901301
1919,"english",4612,1136614538,0.00000405766409438624
1920,"english",6884,1388696469,0.00000495716677738597
1921,"english",7108,1216676110,0.00000584214643616205
1922,"english",5260,1413237707,0.00000372194994086724
1923,"english",3288,1151386048,0.00000285568859003579
1924,"english",3904,1069007206,0.00000365198660784332
1925,"english",3856,1113107246,0.00000346417653272558
1926,"english",4184,1053565430,0.00000397127684798845
1927,"english",6196,1216023821,0.00000509529492185828
1928,"english",5140,1212716430,0.00000423841870436273
1929,"english",5156,1153722574,0.00000446901197583744
1930,"english",7880,1244889331,0.00000632987993693393
1931,"english",7848,1183806248,0.00000662946323628459
1932,"english",7344,1057602772,0.00000694400600530953
1933,"english",6532,915956659,0.00000713134178983026
1934,"english",12300,1053600093,0.00001167425865062070
1935,"english",11196,1157109310,0.00000967583607118328
1936,"english",9520,1199843463,0.00000793436835184891
1937,"english",9100,1232280287,0.00000738468357889101
1938,"english",12980,1261812592,0.00001028678908602930
1939,"english",10600,1249209591,0.00000848536552742493
1940,"english",11380,1179404138,0.00000964894020068293
1941,"english",6860,1084154164,0.00000632751339965337
1942,"english",7836,1045379066,0.00000749584553092629
1943,"english",6428,890214397,0.00000722073246811352
1944,"english",6812,812192380,0.00000838717546205001
1945,"english",7016,926378706,0.00000757357650230790
1946,"english",8788,1203221497,0.00000730372589079499
1947,"english",14750,1385834769,0.00001064340448799920
1948,"english",11844,1486005621,0.00000797036016056900
1949,"english",14088,1641024100,0.00000858488306174175
1950,"english",13704,1644401950,0.00000833372886720306
1951,"english",13996,1603394676,0.00000872897996325890
1952,"english",14368,1621780754,0.00000885939727954128
1953,"english",12280,1590464886,0.00000772101296174105
1954,"english",10844,1662160145,0.00000652404043775216
1955,"english",11096,1751719755,0.00000633434655762046
1956,"english",13124,1817491821,0.00000722094033566493
1957,"english",15448,1952474329,0.00000791201183572642
1958,"english",13600,1976098333,0.00000688224860721038
1959,"english",16608,2064236476,0.00000804558983095888
1960,"english",19676,2341981521,0.00000840143264307165
1961,"english",20400,2567977722,0.00000794399414965018
1962,"english",27120,2818694749,0.00000962147462389160
1963,"english",27032,2955051696,0.00000914772490667114
1964,"english",23900,2931038992,0.00000815410510239981
1965,"english",28436,3300623502,0.00000861534191426841
1966,"english",30172,3466842517,0.00000870302006856344
1967,"english",35428,3658119990,0.00000968475613070308
1968,"english",40520,3968752101,0.00001020975837462620
1969,"english",37072,3942222509,0.00000940383246135029
1970,"english",40896,4086393350,0.00001000784713982560
1971,"english",37728,4058576649,0.00000929586977476349
1972,"english",44668,4174172415,0.00001070104335879480
1973,"english",44448,4058707895,0.00001095126851941140
1974,"english",42008,4045487401,0.00001038391566603720
1975,"english",56136,4104379941,0.00001367709637191210
1976,"english",48876,4242326406,0.00001152103712031060
1977,"english",56608,4314577619,0.00001312017189138440
1978,"english",51084,4365839878,0.00001170084140222790
1979,"english",49256,4528331460,0.00001087729562976820
1980,"english",47392,4611609946,0.00001027667139132330
1981,"english",42812,4627406112,0.00000925183546976307
1982,"english",46958,4839530894,0.00000970300655756078
1983,"english",55700,4982167985,0.00001117987192878640
1984,"english",49268,5309222580,0.00000927970136072163
1985,"english",59880,5475269397,0.00001093644817418650
1986,"english",52140,5793946882,0.00000899904694707900
1987,"english",52476,5936558026,0.00000883946552365426
1988,"english",60417,6191886939,0.00000975744560506421
1989,"english",59722,6549339038,0.00000911878277387783
1990,"english",62536,7075013106,0.00000883899422701649
1991,"english",59920,6895715366,0.00000868945378683138
1992,"english",57092,7596808027,0.00000751526164635041
1993,"english",59220,7492130348,0.00000790429387227741
1994,"english",57648,8027353540,0.00000718144525624070
1995,"english",59584,8276258599,0.00000719938838150845
1996,"english",56396,8745049453,0.00000644890578413519
1997,"english",60652,8979708108,0.00000675433981489502
1998,"english",73235,9406708249,0.00000778540144558915
1999,"english",72144,9997156197,0.00000721645221684636
2000,"english",74020,11190986329,0.00000661425166861179
2001,"english",76030,11349375656,0.00000669904691715845
2002,"english",78894,12519922882,0.00000630147651415861
2003,"english",84204,13632028136,0.00000617692387075044
2004,"english",79789,14705541576,0.00000542577773063582
2005,"english",84104,14425183957,0.00000583035892302694
2006,"english",89329,15310495914,0.00000583449422551474
2007,"english",97247,16206118071,0.00000600063504251635
2008,"english",85417,19482936409,0.00000438419539061588
1871,"german",180,119239982,0.00000150956077802830
1872,"german",464,124152123,0.00000373735050829538
1873,"german",320,134129857,0.00000238574771611066
1874,"german",512,146478682,0.00000349538917888406
1875,"german",336,149968391,0.00000224047212722313
1876,"german",196,155644274,0.00000125928179021864
1877,"german",348,165516596,0.00000210250819802988
1878,"german",460,173995092,0.00000264375273297939
1879,"german",584,169007963,0.00000345545848629629
1880,"german",284,169206918,0.00000167841837294147
1881,"german",256,165089583,0.00000155067324871733
1882,"german",320,192400355,0.00000166319859441008
1883,"german",1140,171330483,0.00000665380719203366
1884,"german",840,196525784,0.00000427424830932108
1885,"german",696,197949025,0.00000351605672217885
1886,"german",216,191335994,0.00000112890416217243
1887,"german",360,182757377,0.00000196982472559781
1888,"german",516,192495024,0.00000268058877199859
1889,"german",252,186808716,0.00000134897346010344
1890,"german",704,190180880,0.00000370173910226938
1891,"german",468,190254486,0.00000245986315402834
1892,"german",832,217713565,0.00000382153496039624
1893,"german",928,219182397,0.00000423391664979373
1894,"german",1132,223687013,0.00000506064247905175
1895,"german",956,221674568,0.00000431262823076755
1896,"german",956,255436182,0.00000374261779406020
1897,"german",1408,259237017,0.00000543132310460122
1898,"german",1148,282876123,0.00000405831353959839
1899,"german",1432,276422434,0.00000518047677707664
1900,"german",1660,294280075,0.00000564088479316855
1901,"german",1740,328224571,0.00000530124845528399
1902,"german",2492,358000901,0.00000696087633589503
1903,"german",2364,373682865,0.00000632621996194554
1904,"german",3864,420546906,0.00000918803573364061
1905,"german",4224,448833805,0.00000941105583613516
1906,"german",2976,455423132,0.00000653458243750342
1907,"german",3116,498456367,0.00000625129942416805
1908,"german",4752,518524639,0.00000916446325321100
1909,"german",3076,366552790,0.00000839169714135855
1910,"german",1888,374092575,0.00000504687910472428
1911,"german",3548,371817314,0.00000954232056014476
1912,"german",2116,378384561,0.00000559219433902854
1913,"german",3024,403069221,0.00000750243343438025
1914,"german",2232,347808502,0.00000641732443906734
1915,"german",1428,234400766,0.00000609213026206578
1916,"german",2256,194957597,0.00001157174706046460
1917,"german",1396,190115476,0.00000734290563488898
1918,"german",2812,175902467,0.00001598613167830100
1919,"german",3964,209486418,0.00001892246780409410
1920,"german",4096,246400221,0.00001662336171362440
1921,"german",3960,253872147,0.00001559840276609780
1922,"german",5588,277716267,0.00002012125562670050
1923,"german",4860,293565084,0.00001655510230910160
1924,"german",3820,244590759,0.00001561792446950130
1925,"german",4280,295650368,0.00001447655901446400
1926,"german",4204,298976107,0.00001406132430508900
1927,"german",4344,299594473,0.00001449959993087060
1928,"german",5232,330987583,0.00001580723951206350
1929,"german",4760,319710580,0.00001488846568668450
1930,"german",4968,344387409,0.00001442561449742200
1931,"german",6148,310403638,0.00001980646889196580
1932,"german",6052,291978316,0.00002072756663203720
1933,"german",6192,248431507,0.00002492437482979970
1934,"german",3588,239702519,0.00001496855358453700
1935,"german",2840,256361966,0.00001107808636480810
1936,"german",2304,225063250,0.00001023712223119500
1937,"german",2180,238753238,0.00000913076621813188
1938,"german",2152,226252345,0.00000951150362662539
1939,"german",1840,246058466,0.00000747789754976364
1940,"german",1052,150501552,0.00000698996114006851
1941,"german",836,132557997,0.00000630667344800027
1942,"german",1204,128286578,0.00000938523747979309
1943,"german",1072,130996053,0.00000818345267242518
1944,"german",1448,84648873,0.00001710595721693780
1945,"german",1400,58544070,0.00002391360901283430
1946,"german",3052,89903330,0.00003394757457816080
1947,"german",5772,135317809,0.00004265513935419990
1948,"german",4676,148427594,0.00003150357608033450
1949,"german",6048,187006688,0.00003234108931975740
1950,"german",5652,183882636,0.00003073699683095690
1951,"german",6080,189321284,0.00003211471986424940
1952,"german",8284,196817756,0.00004208969845180020
1953,"german",23672,215137467,0.00011003197318484700
1954,"german",13204,231109868,0.00005713299961730760
1955,"german",12756,246834944,0.00005167825832634130
1956,"german",18200,279876736,0.00006502862745976860
1957,"german",13900,300899282,0.00004619485931508470
1958,"german",19520,304308387,0.00006414545518260720
1959,"german",28868,352475472,0.00008190073435804920
1960,"german",26216,375940204,0.00006973449426547630
1961,"german",33376,413838806,0.00008064975907551790
1962,"german",34728,422521413,0.00008219228406300910
1963,"german",28392,445962848,0.00006366449610618690
1964,"german",36236,468841117,0.00007728844311238170
1965,"german",27648,523792172,0.00005278429399666550
1966,"german",38936,531063307,0.00007331705935390490
1967,"german",40404,621115583,0.00006505069443733470
1968,"german",76444,668859903,0.00011429000252090200
1969,"german",65640,651297570,0.00010078342530895700
1970,"german",61488,676530550,0.00009088724818117970
1971,"german",50156,658150323,0.00007620751406969980
1972,"german",60432,650598728,0.00009288674785112710
1973,"german",52800,637899357,0.00008277167772721240
1974,"german",59392,649118924,0.00009149633110989070
1975,"german",56568,648549225,0.00008722236928122150
1976,"german",47076,607876396,0.00007744337551149130
1977,"german",49244,649081671,0.00007586718621114780
1978,"german",49960,633542815,0.00007885812737060240
1979,"german",51932,684759003,0.00007583982068505930
1980,"german",46312,670669876,0.00006905334749223180
1981,"german",45924,667190112,0.00006883195535128070
1982,"german",45564,662933378,0.00006873088836990190
1983,"german",69772,671945700,0.00010383577125354000
1984,"german",52748,644286728,0.00008187038116358650
1985,"german",40556,585373134,0.00006928230498531900
1986,"german",31812,569155556,0.00005589333120732990
1987,"german",29372,566023145,0.00005189187095873970
1988,"german",35048,625399102,0.00005604101427059610
1989,"german",29712,607916413,0.00004887514033940060
1990,"german",23464,627602592,0.00003738671621037540
1991,"german",19656,594409385,0.00003306811853248250
1992,"german",17092,589608747,0.00002898871512162280
1993,"german",16484,640360512,0.00002574174967240950
1994,"german",16276,648293293,0.00002510592069321320
1995,"german",18336,708403846,0.00002588354101058900
1996,"german",18380,679069535,0.00002706644762086110
1997,"german",16084,693413737,0.00002319538702764410
1998,"german",13628,678981819,0.00002007122962448570
1999,"german",17068,811937633,0.00002102131901059450
2000,"german",18340,929552753,0.00001972991843745310
2001,"german",22364,949573270,0.00002355163177666110
2002,"german",25480,1034642299,0.00002462686865269950
2003,"german",22012,1119406747,0.00001966398724948900
2004,"german",24640,1297108196,0.00001899610231126780
2005,"german",22376,1279356106,0.00001749004823212220
2006,"german",24472,1329042286,0.00001841325912484920
2007,"german",24916,1524891123,0.00001633952721226510
2008,"german",29248,1594252410,0.00001834590295522900
