"Noun","High","Tall","c","d","GStat","Association"
"man",3,182,39671,1538,1146.53650773315,"tall"
"building",26,82,39648,1638,408.350584997293,"tall"
"tree",26,73,39648,1647,355.522865500568,"tall"
"boy",0,40,39674,1680,255.363795457773,"tall"
"glass",2,39,39672,1681,233.141096515712,"tall"
"woman",3,38,39671,1682,221.337027650028,"tall"
"ship",0,33,39674,1687,210.544481854899,"tall"
"girl",0,32,39674,1688,204.146277120271,"tall"
"figure",93,62,39581,1658,195.580126045562,"tall"
"chimney",8,28,39666,1692,141.094247265441,"tall"
"order",176,62,39498,1658,138.006783395678,"tall"
"dark",3,23,39671,1697,128.268193810387,"tall"
"grass",5,24,39669,1696,126.757923691218,"tall"
"tale",1,20,39673,1700,119.499528890202,"tall"
"window",41,34,39633,1686,117.040450085056,"tall"
"story",0,18,39674,1702,114.690423779762,"tall"
"tower",24,24,39650,1696,88.4692360357471,"tall"
"plant",28,24,39646,1696,83.5671494855209,"tall"
"person",0,13,39674,1707,82.7955241037745,"tall"
"nave",0,9,39674,1711,57.2998281660671,"tall"
"house",26,17,39648,1703,52.7824721078181,"tall"
"pine",0,8,39674,1712,50.9287073397634,"tall"
"player",0,8,39674,1712,50.9287073397634,"tall"
"poppy",0,8,39674,1712,50.9287073397634,"tall"
"mast",1,9,39673,1711,50.8826146103934,"tall"
"people",2,9,39672,1711,47.0376571873546,"tall"
"hat",5,9,39669,1711,39.4728948576892,"tall"
"guy",0,6,39674,1714,38.1898247028882,"tall"
"herb",0,6,39674,1714,38.1898247028882,"tall"
"hierarchy",0,6,39674,1714,38.1898247028882,"tall"
"lady",0,6,39674,1714,38.1898247028882,"tall"
"rye",0,6,39674,1714,38.1898247028882,"tall"
"shrub",0,6,39674,1714,38.1898247028882,"tall"
"stem",2,7,39672,1713,35.1930820446194,"tall"
"column",5,8,39669,1712,34.0279598865619,"tall"
"reed",0,5,39674,1715,31.8220615315046,"tall"
"stack",5,7,39669,1713,28.6808017173664,"tall"
"frame",3,6,39671,1714,26.9863486031673,"tall"
"bamboo",1,5,39673,1715,26.4999662370093,"tall"
"pea",1,5,39673,1715,26.4999662370093,"tall"
"chap",0,4,39674,1716,25.4554162189279,"tall"
"fir",0,4,39674,1716,25.4554162189279,"tall"
"fridge",0,4,39674,1716,25.4554162189279,"tall"
"opponent",0,4,39674,1716,25.4554162189279,"tall"
"organisation",0,4,39674,1716,25.4554162189279,"tall"
"stone",37,12,39637,1708,24.9877335864868,"tall"
"crop",2,5,39672,1715,23.6155678040583,"tall"
"spire",5,6,39669,1714,23.4545967786954,"tall"
"red",6,6,39668,1714,22.0618690203411,"tall"
"block",3,5,39671,1715,21.4909736235938,"tall"
"beech",1,4,39673,1716,20.5360795174655,"tall"
"englishman",1,4,39673,1716,20.5360795174655,"tall"
"bloke",0,3,39674,1717,19.0898880867174,"tall"
"candle",0,3,39674,1717,19.0898880867174,"tall"
"cypress",0,3,39674,1717,19.0898880867174,"tall"
"dancer",0,3,39674,1717,19.0898880867174,"tall"
"fount",0,3,39674,1717,19.0898880867174,"tall"
