"FileID","Degree","MatrixVerb","Complement","DegreeAdverb","Verb","CorpusExample"
"A0J","sudden","start","ing","immediately","use","g a period , and you should <immediately start using> another method of contraception"
"A0L","sudden","start","to","suddenly","resent","to do that to you . And I 've <suddenly started to resent> those starry eyes of yours and"
"A0U","sudden","start","to","immediately","talk","ry bad . I am ashamed , ’ and <immediately started to talk> in Hindi , in the manner of an"
"A18","sudden","begin","to","suddenly","frighten","at Porfiry believed him innocent <suddenly began to frighten> him . ’ The reader is both as"
"A33","sudden","start","ing","immediately","laugh","’ might feel alienated but he <immediately started laughing> himself and I knew I 'd signed"
"A54","sudden","start","to","quickly","nag","nt piece , full of melodies that <quickly start to nag> , expensive arrangements and ab"
"A64","gradual","begin","to","slowly","roll","en railway stations . The trucks <slowly began to roll> . ARA officials met Dzerzhinsky"
"A6A","sudden","start","to","quickly","dwindle","artist , the agent 's 10 per cent <quickly starts to dwindle> . Major Recording and Publishing"
"A6V","sudden","start","ing","suddenly","beat","om palpitations . My heart would <suddenly start beating> very fast as though my life was"
"A73","sudden","begin","to","suddenly","tell","had gone off up to bed and she <suddenly began to tell> me what her life with him had "
"A7D","gradual","begin","to","gradually","regenerate","r becomes grey and crusty , and <gradually begins to regenerate> its corky bark . Nine or ten ye"
"A7D","gradual","begin","to","gradually","use","irst , planning authorities have <gradually begun to use> their powers to serve legally e"
"A7J","sudden","start","to","immediately","cough","extract a cigarette , lit it and <immediately started to cough> . ‘ You 'll kill yourself wi"
"A8E","gradual","start","to","eventually","license","rough various versions , with MIT <eventually starting to license> its code to other users . By Jan"
"A96","sudden","begin","to","suddenly","dawn","n-hour of this sort of thing , it <suddenly began to dawn> on everybody that Mr Clarke had"
"A97","sudden","begin","to","suddenly","eat","gh we were still quite close and <suddenly began to eat> grass . ’ She knew that she"
"ABB","sudden","begin","to","quickly","sweat","ored at room temperature will <quickly begin to sweat> and become very strong . Store"
"ABE","sudden","begin","ing","suddenly","read","ion-and-answer , Mr Yeltsin <suddenly began reading> from a prepared text : I gave"
"ABL","gradual","begin","to","slowly","explore","o the still strange city he was <slowly beginning to explore> along both banks of the Thames"
"ABR","sudden","begin","to","suddenly","win","curious thing happened — England <suddenly began to win> , with nine of the next ten mee"
"AD1","sudden","begin","to","suddenly","laugh","she said . ‘ No . ’ And they <suddenly began to laugh> , the joke toppling over them l"
"ADF","sudden","start","ing","suddenly","buck","er it did n't ! If the horse <suddenly starts bucking> when we ride it , and we jump"
"AE0","sudden","start","ing","suddenly","scream","course . But why ? Why did she <suddenly start screaming> and scratching , and swearing th"
"AHX","sudden","start","ing","suddenly","look","vironmental health officers , <suddenly start looking> at things in a different way ."
"AK6","gradual","begin","to","gradually","exert","nty 's confidence , but they <gradually began to exert> a control that promised them at"
"AMB","gradual","begin","ing","slowly","work",". Everyone stood in a line and <slowly began working> their way forwards . Matron kept"
"AN9","gradual","begin","to","gradually","subside","nd by Friday afternoon the fire <gradually began to subside> . A total catastrophe had been"
"ANF","gradual","begin","to","gradually","deal","ints along the quayside , and <gradually began to deal> in the paintings of the modern"
"ANM","gradual","begin","to","gradually","produce","ilk it seemed worthwhile and I <gradually began to produce> a little more at each pumping"
"ANP","sudden","begin","to","suddenly","struggle","ainland to the island . Roger <suddenly began to struggle> out of his wet shirt . ‘ Not"
"ANY","sudden","begin","to","suddenly","fall","light in the past half-hour , <suddenly begins to fall> fast and furiously again , limit"
"APM","sudden","begin","to","suddenly","seem"," seemed sensible and inevitable <suddenly began to seem> trivial and irrelevant , and w"
"APM","sudden","begin","to","suddenly","rush","lift high at one end by Ludens , <suddenly began to rush> down the stairs , nearly overturni"
"APU","sudden","start","ing","suddenly","ogle","r the way every male she met <suddenly started ogling> the blancmange under her blouse"
"AR7","sudden","begin","ing","quickly","run","enjoy it , not to beat others . I <quickly began running> every day and naturally wanted"
"ARB","sudden","begin","to","suddenly","roll","arning at all , my stomach muscles <suddenly began to roll> up like a shop blind and I was"
"ARR","sudden","start","ing","immediately","refer","with one voice , the two lawyers <immediately start referring> to ‘ us ’ and ‘ them ’"
"AS0","gradual","start","to","gradually","wash"," As his condition improves , he <gradually starts to wash> while sitting , and later learns"
"ASN","sudden","start","ing","suddenly","think"," not ‘ ‘ would be' ’ . I <suddenly started thinking> that he knew , he knew all along"
"ASN","sudden","start","to","immediately","watch"," the corner of the square . He <immediately started to watch> the people arriving from that s"
"ASN","sudden","start","ing","immediately","drink","about midday , still sober , but <immediately started drinking> heavily . By two o'clock he was"
"ASN","sudden","start","to","immediately","cut","an error because the fishmonger <immediately started to cut> a steak for her . She remonstrated"
"ASR","gradual","begin","to","eventually","slide"," muck soon became unstable and <eventually began to slide> downwards , quite suddenly becom"
"AT7","gradual","begin","to","slowly","undress",". After a while she sat up and <slowly began to undress> to her camisole and her waist"
