"Lemma","Wordform","TokenID","FileID"
"paral-ISE","paralysed",2815,"A02"
"recogn-ISE","recognised",4220,"A02"
"author-ISE","authorised",4372,"A02"
"emphas-ISE","emphasized",5164,"A03"
"organ-ISE","organizing",6135,"A03"
"organ-ISE","organise",8195,"A04"
"mobil-ISE","mobilise",9992,"A05"
"mobil-ISE","mobilising",10033,"A05"
"real-ISE","realised",10573,"A05"
"maxim-ISE","maximised",12358,"A06"
"caps-ISE","capsized",13762,"A07"
"caps-ISE","capsized",14046,"A07"
"caps-ISE","capsized",14062,"A07"
"special-ISE","specialise",15403,"A07"
"real-ISE","realise",26213,"A12"
"paral-ISE","paralysed",26447,"A12"
"apolog-ISE","apologised",30500,"A14"
"author-ISE","authorised",31552,"A14"
"author-ISE","authorised",31739,"A14"
"author-ISE","authorised",31766,"A14"
"real-ISE","realise",33843,"A15"
"emphas-ISE","emphasised",34541,"A15"
"special-ISE","specialising",34822,"A16"
"recogn-ISE","recognised",37532,"A17"
"organ-ISE","organise",38112,"A17"
"real-ISE","realise",38560,"A17"
"real-ISE","realised",40943,"A18"
"equal-ISE","equalised",49397,"A22"
"equal-ISE","equalised",49842,"A22"
"deput-ISE","deputising",53253,"A23"
"special-ISE","specialising",56045,"A25"
"recogn-ISE","recognising",56652,"A25"
"recogn-ISE","recognise",60564,"A27"
"revital-ISE","revitalised",60572,"A27"
"author-ISE","authorised",65777,"A29"
"recogn-ISE","recognised",78634,"A35"
"apolog-ISE","apologised",79013,"A35"
"recogn-ISE","recognised",79183,"A35"
"real-ISE","realised",79463,"A35"
"recogn-ISE","recognised",79597,"A35"
"recogn-ISE","recognised",79816,"A35"
"recogn-ISE","recognised",85179,"A37"
"emphas-ISE","emphasises",85815,"A38"
"recogn-ISE","recognises",87928,"A38"
"demoral-ISE","demoralised",92891,"A41"
"capital-ISE","capitalise",93074,"A41"
"equal-ISE","equalise",94396,"A41"
"organ-ISE","organised",96426,"A42"
"emphas-ISE","emphasised",97061,"A42"
"organ-ISE","organised",97390,"A42"
"recogn-ISE","recognise",103438,"B01"
"real-ISE","realise",103473,"B01"
"recogn-ISE","recognised",105668,"B02"
"organ-ISE","organise",105910,"B02"
"paral-ISE","paralysing",106275,"B02"
"emphas-ISE","emphasizes",106999,"B03"
"emphas-ISE","emphasizing",107135,"B03"
"emphas-ISE","emphasized",107626,"B03"
"subsid-ISE","subsidise",109184,"B04"
"special-ISE","specialising",111454,"B05"
"real-ISE","realise",112653,"B05"
"steril-ISE","sterilised",112745,"B05"
"jeopard-ISE","jeopardised",113264,"B06"
"recogn-ISE","recognised",114630,"B06"
"public-ISE","publicised",115391,"B06"
"penal-ISE","penalised",116210,"B07"
"recogn-ISE","recognised",116386,"B07"
"memor-ISE","memorises",118919,"B08"
"stabil-ISE","stabilised",120672,"B09"
"subsid-ISE","subsidised",120913,"B09"
"sympath-ISE","sympathise",121381,"B09"
"critic-ISE","criticised",121994,"B09"
"real-ISE","realised",123497,"B10"
