"FileID","Target","TargetType","PrimeSpan20","PrimeSpan7","CorpusExample"
"ED6","livelier","synthetic","analytic","analytic","liked/VVN more/DT0 intensity/NN1 in/PRP nostalgic/AJ0 song/NN1 (/PUL not/XX0 least/AV0 from/PRP the/AT0 lyrical/AJ0 cello/NN1 )/PUR and/CJC more/AV0 devil-may-care/AJ0 abandon/NN1-VVB in/PRP the/AT0 livelier/AJC"
"CGT","angry","analytic","analytic","analytic","Quite/AV0 often/AV0 a/AT0 series/NN0 of/PRF progressively/AV0 unpleasant/AJ0 interchanges/NN2 will/VM0 take/VVI place/NN1 with/PRP the/AT0 child/NN1 becoming/VVG more/AV0 obstinate/AJ0 and/CJC the/AT0 parent/NN1 more/AV0 angry/AJ0"
"HPM","risky","analytic","analytic","analytic","significant/AJ0 average/AJ0-NN1 correlation/NN1 between/PRP risk/NN1 and/CJC recall/VVB-NN1 ./PUN One/CRD possibility/NN1 is/VBZ that/DT0-CJT certain/AJ0 junctions/NN2 are/VBB both/AV0 intrinsically/AV0 more/AV0 memorable/AJ0 and/CJC more/AV0 risky/AJ0"
"G30","lively","analytic","analytic","analytic","pond/NN1 and/CJC began/VVD the/AT0 same/DT0 operation/NN1 along/PRP-AVP its/DPS full/AJ0 length/NN1 ./PUN This/DT0 proved/VVD to/TO0 be/VBI more/AV0 interesting/AJ0 and/CJC was/VBD certainly/AV0 more/AV0 lively/AJ0"
"KRT","friendly","analytic","analytic","analytic","School/NN1 ,/PUN a/AT0 mixed/AJ0 High/AJ0 School/NN1 in/PRP Ohio/NP0 where/AVQ the/AT0 atmosphere/NN1 was/VBD totally/AV0 different/AJ0 ,/PUN much/AV0 more/AV0 relaxed/AJ0 ,/PUN much/AV0 more/AV0 friendly/AJ0"
"FRF","friendly","analytic","analytic","analytic","of/PRF them/PNP ./PUN Seeing/VVG how/AVQ closely/AV0 Weis/NP0-NN1 was/VBD watching/VVG him/PNP ,/PUN he/PNP made/VVD an/AT0 effort/NN1 to/TO0 be/VBI more/AV0 warm/AJ0 ,/PUN more/AV0 friendly/AJ0"
"HGR","risky","analytic","analytic","analytic","effect/NN1 and/CJC purpose/NN1 of/PRF any/DT0 given/AJ0 transition/NN1 ./PUN As/CJS a/AT0 system/NN1 gets/VVZ larger/AJC the/AT0 logic/NN1 becomes/VVZ more/AV0 obscure/AJ0 ,/PUN modification/NN1 more/AV0 risky/AJ0"
"HXC","risky","analytic","analytic","analytic","vagrancy/NN1 in/PRP 1714/CRD ,/PUN 1740/CRD and/CJC 1744/CRD ,/PUN meant/VVD that/CJT many/DT0 of/PRF the/AT0 lower/AJC orders/NN2 found/VVD it/PNP more/AV0 difficult/AJ0 and/CJC more/AV0 risky/AJ0"
"GVX","angry","analytic","analytic","analytic","is/VBZ dismissed/VVN as/PRP ‘/PUQ domestic/AJ0 violence/NN1 ’/PUQ ./PUN In/PRP these/DT0 circumstances/NN2 the/AT0 voice/NN1 of/PRF feminism/NN1 has/VHZ become/VVN more/AV0 insistent/AJ0 and/CJC more/AV0 angry/AJ0"
"ABD","friendly","analytic","analytic","analytic","are/VBB welcome/AJ0 to/TO0 visit/VVI China/NP0-NN1 ./PUN Over/PRP the/AT0 next/ORD ten/CRD years/NN2 ,/PUN China/NP0 will/VM0 become/VVI economically/AV0 more/AV0 liberal/AJ0 ,/PUN internationally/AV0 more/AV0 friendly/AJ0"
"EAA","friendly","analytic","analytic","analytic","be/VBI significant/AJ0 differences/NN2 in/PRP the/AT0 way/NN1 they/PNP perform/VVB their/DPS jobs/NN2 ./PUN Some/DT0 will/VM0 be/VBI more/AV0 active/AJ0 than/CJS others/NN2 ,/PUN some/DT0 more/DT0 friendly/AJ0"
"JY1","angrier","synthetic","analytic","none","in/PRP advance/NN1 that/CJT she/PNP was/VBD more/AV0 interested/AJ0 in/PRP Travis/NP0 's/POS financial/AJ0 status/NN1 than/CJS Travis/NP0 himself/PNX ./PUN And/CJC that/CJT-DT0 made/VVD her/DPS angrier/AJC"
"EFG","friendlier","synthetic","analytic","none","the/AT0 British/AJ0 people/NN0 have/VHB a/AT0 far/AV0 more/AV0 reserved/AJ0 nature/NN1 than/CJS Australians/NN2 ./PUN I/PNP 'm/VBB used/VVN-AJ0 to/PRP people/NN0 being/VBG a/AT0 lot/NN1 friendlier/AJC"
"FA2","livelier","synthetic","analytic","none","of/PRF the/AT0 several/DT0 alternatives/NN2 along/PRP this/DT0 coast/NN1 ;/PUN it/PNP is/VBZ more/AV0 intimate/AJ0 than/CJS Bayonne/NP0 ,/PUN less/AV0 pompous/AJ0 than/CJS Biarritz/NP0 and/CJC livelier/AJC"
"A05","livelier","synthetic","analytic","none","present/NN1-AJ0 in/PRP writing/NN1 of/PRF every/AT0 kind/NN1 ,/PUN is/VBZ more/AV0 obtrusive/AJ0 than/CJS it/PNP is/VBZ in/PRP the/AT0 other/AJ0 tale/NN1 ,/PUN is/VBZ the/AT0 livelier/AJC"
"HGT","angry","analytic","analytic","none","she/PNP should/VM0 feel/VVI relieved/AJ0 or/CJC even/AV0 more/AV0 depressed/AJ0 and/CJC decided/VVD-VVN after/PRP a/AT0 moment/NN1 on/PRP the/AT0 latter/DT0 ./PUN He/PNP sounded/VVD even/AV0 more/AV0 angry/AJ0"
"FR2","friendly","analytic","analytic","none","to/PRP the/AT0 more/AV0 amorphous/AJ0 boundaries/NN2 of/PRF suburban/AJ0 neighbourhoods/NN2 ,/PUN many/DT0 people/NN0 have/VHB migrated/VVN to/PRP the/AT0 countryside/NN1 in/PRP search/NN1 of/PRF a/AT0 more/AV0 friendly/AJ0"
"FSP","sorry","analytic","analytic","none","./PUN I/PNP mistrust/VVB a/AT0 literature/NN1 that/CJT finds/VVZ suicide/NN1 more/AV0 significant/AJ0 than/CJS death/NN1 ,/PUN and/CJC a/AT0 man/NN1 's/POS inability/NN1 to/TO0 communicate/VVI more/AV0 sorry/AJ0"
"CKS","risky","analytic","analytic","none","seem/VVB an/AT0 ever/AV0 more/AV0 clear/AJ0 indication/NN1 of/PRF personal/AJ0 inadequacy/NN1 —/PUN which/DTQ in/PRP its/DPS turn/NN1 makes/VVZ openness/NN1 about/PRP problems/NN2 appear/VVB yet/AV0 more/AV0 risky/AJ0"
"B28","riskier","synthetic","analytic","none","with/PRP staff/NN0 ./PUN It/PNP means/VVZ more/AV0 imaginative/AJ0 deployment/NN1 of/PRF staff/NN0 ./PUN It/PNP means/VVZ preparedness/NN1 to/TO0 experiment/VVI with/PRP new/AJ0 and/CJC possibly/AV0 riskier/AJC"
"CCW","Livelier","synthetic","synthetic","synthetic","it/PNP we/PNP can/VM0 turn/VVI out/AVP to/PRP the/AT0 open/AJ0 ocean/NN1 ./PUN Things/NN2 will/VM0 be/VBI a/AT0 bit/NN1 livelier/AJC then/AV0 ./PUN ’/PUQ ‘/PUQ Livelier/AJC"
"C8N","angrier","synthetic","synthetic","synthetic","file/NN1 paper/NN1 ./PUN After/PRP a/AT0 suitably/AV0 stern/AJ0-NN1 telling/VVG off/AVP from/PRP Mr/NP0 Grovey/NP0 (/PUL whose/DTQ bald/AJ0 head/NN1 always/AV0 got/VVD-VVN redder/AJC the/AT0 angrier/AJC"
"CH4","angrier","synthetic","synthetic","synthetic","!/PUN How/AVQ dare/VM0 they/PNP expel/VVI her/PNP for/PRP something/PNI she/PNP had/VHD n't/XX0 done/VDN !/PUN Matilda/NP0 felt/VVD herself/PNX getting/VVG angrier/AJC …/PUN and/CJC angrier/AJC"
"CH4","angrier","synthetic","synthetic","synthetic","they/PNP expel/VVI her/PNP for/PRP something/PNI she/PNP had/VHD n't/XX0 done/VDN !/PUN Matilda/NP0 felt/VVD herself/PNX getting/VVG angrier/AJC …/PUN and/CJC angrier/AJC …/PUN and/CJC angrier/AJC"
"KGK","angrier","synthetic","synthetic","synthetic","had/VHD the/AT0 Lieutenant/NP0 Commander/NP0 been/VBN prepared/AJ0 to/TO0 listen/VVI to/PRP us/PNP and/CJC of/PRF course/NN1 you/PNP could/VM0 see/VVI him/PNP getting/VVG angrier/AJC and/CJC angrier/AJC"
"CDK","angrier","synthetic","synthetic","synthetic","where/AVQ the/AT0 people/NN0 present/AJ0 are/VBB your/DPS customers/NN2 and/CJC you/PNP can/VM0 not/XX0 show/VVI your/DPS anger/NN1 ;/PUN you/PNP gradually/AV0 get/VVB angrier/AJC and/CJC angrier/AJC"
