"Example ID","Construction","Study 1 (5.2)","Study 2 (5.3)","Study 3 (5.4)","Part-of-Speech","Animacy Category","Animacy Rank","Modifier Length","Head Length","Modifier","Head"
1,"s-possessive",1,1,0,"pronoun","ORG",2,1,1,"its [administration]","policy"
2,"s-possessive",1,0,0,"pronoun","HUM",1,1,2,"his","waterfront property"
3,"s-possessive",1,0,0,"pronoun","HUM",1,1,1,"his","offices"
4,"s-possessive",1,0,0,"pronoun","ORG",2,1,5,"its [team]","conference victory last Saturday night"
5,"s-possessive",1,0,0,"pronoun","HUM",1,1,2,"his","wife, Nori"
6,"s-possessive",0,0,0,"proper name","HUM",1,2,3,"Jack Kramer's","professional tennis matches"
7,"s-possessive",1,0,0,"pronoun","HUM",1,1,6,"their [boys]","big week ends of the year"
8,"s-possessive",1,0,0,"pronoun","HUM",1,1,2,"their [defendants]","clients' guilt"
9,"s-possessive",1,0,0,"pronoun","ORG",2,1,5,"its [Multnomah]","budgeted $66,000 in the category"
10,"s-possessive",1,0,0,"pronoun","HUM",1,1,2,"his","wife, Sue"
11,"s-possessive",1,1,0,"pronoun","HUM",1,1,2,"her","professional roles"
12,"s-possessive",1,0,1,"common noun","ORG",2,2,14,"the government's","special ceremonies at Memorial University honoring distinguished sons and daughters of the island province"
13,"s-possessive",1,0,0,"pronoun","ORG",2,1,1,"their","work"
14,"s-possessive",0,0,0,"proper name","HUM",1,2,1,"Senator Gore's","words"
15,"s-possessive",0,0,0,"proper name","HUM",1,3,2,"Mantle's and Maris's","present paces"
16,"s-possessive",1,0,0,"pronoun","HUM",1,1,1,"his","research"
17,"s-possessive",1,0,1,"common noun","TIM",9,2,6,"the year's","grist of nearly 15,000 book titles"
18,"s-possessive",1,0,0,"pronoun","HUM",1,1,1,"their","party"
19,"s-possessive",1,0,0,"pronoun","ORG",2,1,1,"their","actions"
20,"s-possessive",1,0,0,"pronoun","HUM",1,1,1,"his","staff"
21,"s-possessive",1,1,0,"pronoun","HUM",1,1,1,"their","burden"
22,"s-possessive",1,0,0,"pronoun","HUM",1,1,6,"his","advisers in the Politburo (White House)"
