"Word","a","b","c","d","GStat"
"odd",21,4277,317,7854379,158.555586224863
"familiar",16,5503,322,7853153,104.011464887408
"special",20,21725,318,7836931,85.4950969420225
"strange",13,6026,325,7852630,76.7731710162547
"sinister",8,661,330,7857995,74.3869080936388
"different",18,47503,320,7811153,47.1835415212247
"fishy",4,104,334,7858552,46.2726661691692
"paradoxical",4,258,334,7858398,39.1074203555728
"disturbing",5,1037,333,7857619,37.3328860586622
"spooky",3,128,335,7858528,31.772080110119
"absurd",4,922,334,7857734,29.0195484212928
"appealing",4,976,334,7857680,28.5697575205141
"funny",5,4301,333,7854355,23.4026921680739
"shocking",3,541,335,7858115,23.2121219613433
"touching",3,613,335,7858043,22.4705339888496
"creepy",2,63,336,7858593,22.3709565523057
"unsatisfactory",3,757,335,7857899,21.2196064379622
"shifty",2,97,336,7858559,20.6694329526023
"uncatlike",1,0,337,7858656,20.1112079152458
"repulsive",2,124,336,7858532,19.6983299425315
"endearing",2,125,336,7858531,19.6665420989435
"cold-blooded",2,117,336,7858539,19.928253036641
"sad",4,3305,334,7855351,19.0214750352838
"unusual",4,4013,334,7854643,17.5297156087668
"scary",2,211,336,7858445,17.592651398417
"queer",2,285,336,7858371,16.4013504361462
"eerie",2,292,336,7858364,16.3052254422731
"cabalistic",1,2,337,7858654,16.2922944319524
"monk-like",1,2,337,7858654,16.2922944319524
"attractive",4,5043,334,7853613,15.7904335155181
"re-assuring",1,3,337,7858653,15.6127840515475
"indecent",2,391,336,7858265,15.1493308489331
"pythonesque",1,4,337,7858652,15.1075267329458
"unattractive",2,326,336,7858330,15.868981083178
"comforting",2,416,336,7858240,14.9041706512526
"costive",1,5,337,7858651,14.7049022287742
"miltonic",1,9,337,7858647,13.6103203210776
"impressive",3,2891,335,7855765,13.3703761555549
"apt",2,633,336,7858023,13.2468742301563
"unpleasing",1,17,337,7858639,12.3885363116007
"shamanistic",1,17,337,7858639,12.3885363116007
"unsatisfying",1,20,337,7858636,12.0722717471591
"wrong",5,14892,333,7843764,11.8856952044796
"risible",1,31,337,7858625,11.2139754892279
"glorious",2,1075,336,7857581,11.1688450762965
"prurient",1,32,337,7858624,11.1515510734723
"delicious",2,1090,336,7857566,11.1147508930702
"unique",3,4297,335,7854359,11.1134289993227
"god-like",1,34,337,7858622,11.0322752492884
"sacrilegious",1,34,337,7858622,11.0322752492884
"atavistic",1,41,337,7858615,10.6633857611373
"ingratiating",1,42,337,7858614,10.6158479779073
"starchy",1,43,337,7858613,10.5694179211865
"suspicious",2,1298,336,7857358,10.4345391763956
"cruel",2,1311,336,7857345,10.3958191582823
"symbolic",2,1346,336,7857310,10.2935036290395
"peculiar",2,1384,336,7857272,10.1854725458673
"reptilian",1,56,337,7858600,10.0475555178074
"pseudo",1,56,337,7858600,10.0475555178074
"crude",2,1314,336,7857342,10.386939824455
"nightmarish",1,60,337,7858596,9.91108978304277
"virginal",1,67,337,7858589,9.69271718649106
"crazy",2,1694,336,7856962,9.40405499901417
"nasty",2,1719,336,7856937,9.34762698250871
"pejorative",1,82,337,7858574,9.29265621287488
"odious",1,83,337,7858573,9.26864501023716
"ridiculous",2,1772,336,7856884,9.23076500568672
"insolent",1,88,337,7858568,9.15276068056282
"patronizing",1,91,337,7858565,9.08634444518801
"irreverent",1,91,337,7858565,9.08634444518801
"enthralling",1,69,337,7858587,9.634489370426
"horrible",2,1601,336,7857055,9.621820597274
"uplifting",1,101,337,7858555,8.87976057411718
"demeaning",1,102,337,7858554,8.86023817989843
