"Corpus","TokenID","FileID","Type","Noun","NounCat","CorpExample"
"LOB",616665,"H06","electrical","accident","energy","a view to reducing the risk of <electrical accident> , e.g : - ( 1 ) . in the cons"
"LOB",616594,"H06","electrical","accident","energy","pproximately one-eighth of all <electrical accidents> , including one-third of the "
"LOB",696541,"J12","electrical","activity","energy","lay in the breakdown of normal <electrical activity> obtained when the insect nerv"
"LOB",846086,"J78","electrical","amplifier","device","al , hydraulic , pneumatic and <electrical amplifiers> are all in use in automatic c"
"LOB",616625,"H06","electrical","apparatus","device","f these was caused by portable <electrical apparatus> and its associated flexible c"
"LOB",753380,"J37","electric","attraction","energy","r terms ` electric force ' , ` <electric attraction> ' , magnetic ` pole ' , etc ."
"LOB",1003390,"N04","electric","battery","circuit","rumbling as they charged their <electric batteries> . a light wind wafted the smo"
"LOB",1140394,"R02","electric","bill","energy","? ' she grimaced . ` only the <electric bill> . it 's up again . we 'll hav"
"LOB",881036,"K12","electric","blue","energy","tive iris strait ; nor yet the <electric blue> sweeping from Teneriffe to To"
"LOB",25973,"A12","electric","bulb","device","m . the only light was from an <electric bulb> . so , for four days , she di"
"LOB",350243,"F10","electric","calculating_machine","device","d the same sum on an expensive <electric calculating> machine . it took nearly two "
"LOB",176703,"C06","electric","chair","device","ics . Kenneth Allsop . did the <electric chair> fully avenge this baby's murd"
"LOB",835008,"J73","electrical","circuit","circuit","erlock was incorporated in the <electrical circuits> , with a time delay of about "
"LOB",709849,"J18","electrical","communication_theory","engineer","d in detail in connection with <electrical communication> theory by C Shannon and other"
"LOB",506408,"G34","electric","company","industry","ice commission and the English <electric company> , via television and a dozen "
"LOB",616395,"H06","electrical","condition","energy","can be made to both steam and <electrical conditions> . wherever possible the princ"
"LOB",680387,"J05","electrical","conductivity","circuit","ctors . although the theory of <electrical conductivity> which we have given seems to "
"LOB",687747,"J08","electrical","conductivity","circuit","owth is marked by the onset of <electrical conductivity> , and the rate of change of r"
"LOB",296335,"E25","electric","cooker","device","the second one , dealing with <electric cookers> , will be published shortly ,"
"LOB",827042,"J69","electrical","counterpart[=engineer]","engineer","ineering are referred to their <electrical counterparts> for solution ; an example of "
