"Token","FreqLabour","FreqLibdem","c","d","GStat","Association"
"&bull;",60,421,25980,23166,344.755423496325,"libdem"
"liberal",0,80,26040,23507,119.156904205984,"libdem"
"democrats",0,71,26040,23516,105.737492467752,"libdem"
":",25,94,26015,23493,49.852217643599,"libdem"
"—",0,25,26040,23562,37.2058773304988,"libdem"
"%",0,22,26040,23565,32.7397023805696,"libdem"
"believe",3,27,26037,23560,24.5448779748578,"libdem"
"universities",0,11,26040,23576,16.3671575815833,"libdem"
"your",0,11,26040,23576,16.3671575815833,"libdem"
"green",3,19,26037,23568,14.6156893728766,"libdem"
"pollution",0,10,26040,23577,14.879011608504,"libdem"
"united",0,10,26040,23577,14.879011608504,"libdem"
"competitive",0,9,26040,23578,13.3909101550864,"libdem"
"and",972,1032,25068,22555,13.1677123906844,"libdem"
"pupil",1,12,26039,23575,12.0937614057037,"libdem"
"opposition",0,8,26040,23579,11.9028532185662,"libdem"
"gps",0,8,26040,23579,11.9028532185662,"libdem"
"asylum",0,8,26040,23579,11.9028532185662,"libdem"
"hospital",0,8,26040,23579,11.9028532185662,"libdem"
"local",47,79,25993,23508,11.7205187700304,"libdem"
"community",16,38,26024,23549,11.5500447131199,"libdem"
"case",0,7,26040,23580,10.4148407961313,"libdem"
"pass",0,7,26040,23580,10.4148407961313,"libdem"
"defending",0,7,26040,23580,10.4148407961313,"libdem"
"uk",54,83,25986,23504,9.41562475806872,"libdem"
"remain",2,12,26038,23575,8.95080171705921,"libdem"
"wellbeing",2,12,26038,23575,8.95080171705921,"libdem"
"person",0,6,26040,23581,8.92687288501779,"libdem"
"mps",0,6,26040,23581,8.92687288501779,"libdem"
"kingdom",0,6,26040,23581,8.92687288501779,"libdem"
"speed",0,6,26040,23581,8.92687288501779,"libdem"
"1p",0,6,26040,23581,8.92687288501779,"libdem"
"account",3,14,26037,23573,8.85576661064174,"libdem"
"such",19,38,26021,23549,8.48504644841697,"libdem"
"pressure",1,9,26039,23578,8.17870864367134,"libdem"
";",1,9,26039,23578,8.17870864367134,"libdem"
"aim",1,9,26039,23578,8.17870864367134,"libdem"
"ability",1,9,26039,23578,8.17870864367134,"libdem"
"areas",13,29,26027,23558,7.94431205528453,"libdem"
"spending",11,26,26029,23561,7.83998748509049,"libdem"
"organisations",2,11,26038,23576,7.78355018498667,"libdem"
"information",2,11,26038,23576,7.78355018498667,"libdem"
"vote",3,13,26037,23574,7.76910065133553,"libdem"
"parliament",17,34,26023,23553,7.59097609211727,"libdem"
"in",379,416,25661,23171,7.44756937523591,"libdem"
"powers",13,28,26027,23559,7.20752142630301,"libdem"
"family",5,16,26035,23571,7.20207503660115,"libdem"
"promote",11,25,26029,23562,7.06895019982471,"libdem"
"school",8,21,26032,23566,7.4017308214697,"libdem"
"continuing",0,5,26040,23582,7.438949482432,"libdem"
"limits",0,5,26040,23582,7.438949482432,"libdem"
"leaders",0,5,26040,23582,7.438949482432,"libdem"
"reason",0,5,26040,23582,7.438949482432,"libdem"
"subjects",0,5,26040,23582,7.438949482432,"libdem"
"electric",0,5,26040,23582,7.438949482432,"libdem"
"everything",0,5,26040,23582,7.438949482432,"libdem"
"front-line",0,5,26040,23582,7.438949482432,"libdem"
"initiatives",0,5,26040,23582,7.438949482432,"libdem"
"co-operation",4,14,26036,23573,6.91968407722737,"libdem"
"priorities",4,14,26036,23573,6.91968407722737,"libdem"
"needed",1,8,26039,23579,6.91337375775095,"libdem"
"encouraging",1,8,26039,23579,6.91337375775095,"libdem"
"framework",1,8,26039,23579,6.91337375775095,"libdem"
"left",1,8,26039,23579,6.91337375775095,"libdem"
"theresa",3,12,26037,23575,6.71139594612016,"libdem"
"away",3,12,26037,23575,6.71139594612016,"libdem"
"promoting",2,10,26038,23577,6.64441438927581,"libdem"
"drugs",2,10,26038,23577,6.64441438927581,"libdem"
"develop",10,23,26030,23564,6.63389734439376,"libdem"
"help",17,32,26023,23555,6.27645808316751,"libdem"
"why",5,15,26035,23572,6.27322636332531,"libdem"
"helping",5,15,26035,23572,6.27322636332531,"libdem"
"young",15,30,26025,23557,6.6971194785193,"libdem"
"together",6,17,26034,23570,6.6299620979965,"libdem"
"better",9,21,26031,23566,6.2012899583656,"libdem"
"agriculture",0,4,26040,23583,5.95107058559282,"libdem"
"proposed",0,4,26040,23583,5.95107058559282,"libdem"
"influence",0,4,26040,23583,5.95107058559282,"libdem"
"negotiated",0,4,26040,23583,5.95107058559282,"libdem"
"lgbt+",0,4,26040,23583,5.95107058559282,"libdem"
"tolerant",0,4,26040,23583,5.95107058559282,"libdem"
"discount",0,4,26040,23583,5.95107058559282,"libdem"
"flow",0,4,26040,23583,5.95107058559282,"libdem"
"300,000",0,4,26040,23583,5.95107058559282,"libdem"
"aiming",0,4,26040,23583,5.95107058559282,"libdem"
"conduct",0,4,26040,23583,5.95107058559282,"libdem"
"integration",0,4,26040,23583,5.95107058559282,"libdem"
"countryside",0,4,26040,23583,5.95107058559282,"libdem"
"might",0,4,26040,23583,5.95107058559282,"libdem"
"card",0,4,26040,23583,5.95107058559282,"libdem"
"attract",0,4,26040,23583,5.95107058559282,"libdem"
"harm",0,4,26040,23583,5.95107058559282,"libdem"
"state-funded",0,4,26040,23583,5.95107058559282,"libdem"
"constituency",0,4,26040,23583,5.95107058559282,"libdem"
"general",0,4,26040,23583,5.95107058559282,"libdem"
"implications",0,4,26040,23583,5.95107058559282,"libdem"
"adequately",0,4,26040,23583,5.95107058559282,"libdem"
"listed",0,4,26040,23583,5.95107058559282,"libdem"
"outside",0,4,26040,23583,5.95107058559282,"libdem"
"including",45,65,25995,23522,5.91761080783873,"libdem"
"capital",10,22,26030,23565,5.88115544041779,"libdem"
"england",16,30,26024,23557,5.83222691607638,"libdem"
"political",6,16,26034,23571,5.76224224603536,"libdem"
"campaign",3,11,26037,23576,5.68716359468077,"libdem"
"2022",2,9,26038,23578,5.53879767973118,"libdem"
"nations",2,9,26038,23578,5.53879767973118,"libdem"
"groups",2,9,26038,23578,5.53879767973118,"libdem"
"expand",2,9,26038,23578,5.53879767973118,"libdem"
"essential",2,9,26038,23578,5.53879767973118,"libdem"
"allowing",2,9,26038,23578,5.53879767973118,"libdem"
"violent",2,9,26038,23578,5.53879767973118,"libdem"
"waste",2,9,26038,23578,5.53879767973118,"libdem"
"hard",5,14,26035,23573,5.37781278596833,"libdem"
"leave",8,19,26032,23568,5.7719440441371,"libdem"
"resource",1,7,26039,23580,5.6760567875292,"libdem"
"travel",1,7,26039,23580,5.6760567875292,"libdem"
"premium",1,7,26039,23580,5.6760567875292,"libdem"
"chance",1,7,26039,23580,5.6760567875292,"libdem"
"much",1,7,26039,23580,5.6760567875292,"libdem"
"professionals",1,7,26039,23580,5.6760567875292,"libdem"
"oppose",1,7,26039,23580,5.6760567875292,"libdem"
"terms",1,7,26039,23580,5.6760567875292,"libdem"
"encourage",9,20,26031,23567,5.4410948422106,"libdem"
"election",4,12,26036,23575,5.01819054853432,"libdem"
"benefits",8,18,26032,23569,5.00263722782891,"libdem"
"authorities",8,18,26032,23569,5.00263722782891,"libdem"
"scotland",8,18,26032,23569,5.00263722782891,"libdem"
"gender",6,15,26034,23572,4.92870801162135,"libdem"
"life",11,22,26029,23565,4.91004716512502,"libdem"
"single",3,10,26037,23577,4.70206634631097,"libdem"
"may",7,16,26033,23571,4.56639948762128,"libdem"
"key",7,16,26033,23571,4.56639948762128,"libdem"
"committee",1,6,26039,23581,4.47482330680535,"libdem"
"natural",1,6,26039,23581,4.47482330680535,"libdem"
"established",1,6,26039,23581,4.47482330680535,"libdem"
"activity",1,6,26039,23581,4.47482330680535,"libdem"
"parties",1,6,26039,23581,4.47482330680535,"libdem"
"implementing",1,6,26039,23581,4.47482330680535,"libdem"
"preventing",1,6,26039,23581,4.47482330680535,"libdem"
"establish",10,20,26030,23567,4.46341255323714,"libdem"
"wish",0,3,26040,23584,4.46323619170701,"libdem"
"custody",0,3,26040,23584,4.46323619170701,"libdem"
"penny",0,3,26040,23584,4.46323619170701,"libdem"
"combat",0,3,26040,23584,4.46323619170701,"libdem"
"electoral",0,3,26040,23584,4.46323619170701,"libdem"
"member",0,3,26040,23584,4.46323619170701,"libdem"
"imports",0,3,26040,23584,4.46323619170701,"libdem"
