"Lemma","Wordform","TokenID","FileID","Genre"
"relation-ship","relationship",224115,"A08","fict"
"friend-ship","friendship",228255,"A08","fict"
"champion-ship","championship",228312,"A08","fict"
"relation-ship","relationship",247982,"A08","fict"
"relation-ship","relationship",250368,"A08","fict"
"relation-ship","relationship",253720,"A08","fict"
"companion-ship","companionship",320452,"A0D","fict"
"scholar-ship","scholarship",347825,"A0D","fict"
"reader-ship","readership",347834,"A0D","fict"
"lady-ship","Ladyship",352764,"A0D","fict"
"lord-ship","Lordship",352790,"A0D","fict"
"lady-ship","Ladyship",352831,"A0D","fict"
"acquaintance-ship","acquaintanceship",359199,"A0D","fict"
"relation-ship","relationship",359946,"A0D","fict"
"friend-ship","friendship",415701,"A0F","fict"
"relation-ship","relationships",415834,"A0F","fict"
"friend-ship","friendship",586551,"A0L","fict"
"relation-ship","relationships",593906,"A0L","fict"
"relation-ship","relationships",607042,"A0L","fict"
"relation-ship","relationship",612234,"A0L","fict"
"wor-ship","worship",624647,"A0L","fict"
"comrade-ship","comradeship",670577,"A0N","fict"
"wor-ship","Worship",676276,"A0N","fict"
"hard-ship","hardship",676298,"A0N","fict"
"hard-ship","hardship",691980,"A0N","fict"
"scholar-ship","scholarship",696299,"A0N","fict"
"hard-ship","hardship",706446,"A0N","fict"
"relation-ship","relationship",759943,"A0R","fict"
"relation-ship","relationships",774314,"A0R","fict"
"showman-ship","showmanship",775054,"A0R","fict"
"relation-ship","relationship",856777,"A0U","fict"
"member-ship","membership",869082,"A0U","fict"
"friend-ship","Friendship",3298459,"A6J","fict"
"relation-ship","relationship",3301967,"A6J","fict"
"relation-ship","relationships",3302805,"A6J","fict"
"relation-ship","relationship",3303240,"A6J","fict"
"relation-ship","relationship",3303287,"A6J","fict"
"companion-ship","companionship",3315881,"A6J","fict"
"friend-ship","friendship",3318495,"A6J","fict"
"relation-ship","relationship",3418060,"A6N","fict"
"friend-ship","friendship",3424385,"A6N","fict"
"lord-ship","lordship",3443592,"A6N","fict"
"scholar-ship","scholarship",3452881,"A6N","fict"
"scholar-ship","scholarships",3453068,"A6N","fict"
"scholar-ship","scholarships",3453078,"A6N","fict"
"scholar-ship","scholarships",3453508,"A6N","fict"
"partner-ship","partnership",3807223,"A73","fict"
"friend-ship","friendship",3810146,"A73","fict"
"friend-ship","friendship",3810324,"A73","fict"
"friend-ship","friendship",3819516,"A73","fict"
"member-ship","membership",3820264,"A73","fict"
"relation-ship","relationship",3822811,"A73","fict"
"wor-ship","worships",3828753,"A73","fict"
"relation-ship","relationship",3828926,"A73","fict"
"partner-ship","partnership",3830486,"A73","fict"
"partner-ship","partnership",3830509,"A73","fict"
"partisan-ship","partisanship",3831446,"A73","fict"
"partner-ship","partnership",3832755,"A73","fict"
"highwayman-ship","highwaymanship",3834509,"A73","fict"
"wor-ship","worship",3839923,"A73","fict"
"hard-ship","hardship",3847114,"A73","fict"
"relation-ship","relationship",4028354,"A7A","fict"
"director-ship","Directorship",4034835,"A7A","fict"
"court-ship","courtship",4035291,"A7A","fict"
"champion-ship","Championships",4035358,"A7A","fict"
"relation-ship","relationship",4038111,"A7A","fict"
"champion-ship","Championship",4042662,"A7A","fict"
"champion-ship","Championship",4042693,"A7A","fict"
"champion-ship","championship",4050572,"A7A","fict"
"champion-ship","championship",4050602,"A7A","fict"
"champion-ship","Championship",4050623,"A7A","fict"
"champion-ship","Championships",4055807,"A7A","fict"
"relation-ship","relationship",4059027,"A7A","fict"
"owner-ship","ownership",4254738,"A7J","fict"
"relation-ship","relationship",4272427,"A7J","fict"
"relation-ship","relationship",4272715,"A7J","fict"
"relation-ship","relationship",4273534,"A7J","fict"
"lord-ship","lordship",4280472,"A7J","fict"
"relation-ship","relationships",5582698,"AB9","fict"
"partner-ship","partnership",5604682,"AB9","fict"
"partner-ship","partnership",5604908,"AB9","fict"
"partner-ship","partnership",5604924,"AB9","fict"
"partner-ship","partnership",5604931,"AB9","fict"
"partner-ship","partnership",5604948,"AB9","fict"
"partner-ship","partnership",5604992,"AB9","fict"
