"Lemma","Wordform","TokenID","FileID"
"part-icle","particles",7822,"A01"
"veh-icle","vehicles",22219,"A03"
"art-icle","articles",23300,"A03"
"art-icle","articles",23317,"A03"
"art-icle","article",24763,"A03"
"art-icle","article",26468,"A03"
"art-icle","articles",30556,"A03"
"art-icle","article",30950,"A03"
"art-icle","article",30960,"A03"
"art-icle","article",31080,"A03"
"art-icle","article",31206,"A03"
"art-icle","article",38054,"A03"
"art-icle","article",39887,"A03"
"art-icle","article",40676,"A03"
"art-icle","Articles",42100,"A04"
"art-icle","articles",43154,"A04"
"art-icle","articles",43273,"A04"
"art-icle","articles",43510,"A04"
"art-icle","articles",43516,"A04"
"art-icle","articles",43532,"A04"
"art-icle","article",46057,"A04"
"art-icle","article",46128,"A04"
"art-icle","article",46784,"A04"
"art-icle","article",48531,"A04"
"art-icle","articles",50656,"A04"
"art-icle","articles",51103,"A04"
"art-icle","article",52171,"A04"
"art-icle","articles",52715,"A04"
"art-icle","articles",52740,"A04"
"veh-icle","vehicle",65247,"A04"
"art-icle","articles",66879,"A04"
"art-icle","articles",68365,"A04"
"art-icle","articles",73598,"A04"
"art-icle","articles",73714,"A04"
"art-icle","articles",73726,"A04"
"art-icle","article",73884,"A04"
"art-icle","article",73911,"A04"
"art-icle","article",73927,"A04"
"art-icle","article",73944,"A04"
"art-icle","ARTICLES",75033,"A04"
"art-icle","article",75103,"A04"
"art-icle","articles",75213,"A04"
"art-icle","articles",75277,"A04"
"art-icle","articles",75354,"A04"
"art-icle","article",75397,"A04"
"art-icle","article",75409,"A04"
"art-icle","article",75430,"A04"
"art-icle","article",75465,"A04"
"art-icle","article",75576,"A04"
"art-icle","article",75615,"A04"
"art-icle","article",75780,"A04"
"art-icle","article",75828,"A04"
"art-icle","article",75969,"A04"
"art-icle","article",76157,"A04"
"art-icle","articles",76532,"A04"
"art-icle","article",76882,"A04"
"art-icle","article",76903,"A04"
"art-icle","article",76919,"A04"
"art-icle","article",77125,"A04"
"art-icle","Articles",79868,"A04"
"art-icle","articles",79966,"A04"
"art-icle","articles",80034,"A04"
"art-icle","article",80104,"A04"
"art-icle","articles",80112,"A04"
"art-icle","articles",80159,"A04"
"art-icle","articles",80182,"A04"
"art-icle","articles",80572,"A04"
"art-icle","articles",80678,"A04"
"art-icle","article",80877,"A04"
"art-icle","article",80988,"A04"
"art-icle","article",81012,"A04"
"art-icle","article",81105,"A04"
"art-icle","Articles",81130,"A04"
"art-icle","Articles",81163,"A04"
"art-icle","article",84436,"A04"
"art-icle","article",85968,"A05"
"art-icle","article",86157,"A05"
"art-icle","article",87890,"A05"
"art-icle","article",89103,"A05"
"art-icle","article",124555,"A05"
"art-icle","article",124703,"A05"
"art-icle","article",124977,"A05"
"art-icle","article",125650,"A05"
"art-icle","article",126357,"A05"
"art-icle","article",126827,"A05"
"art-icle","article",126915,"A05"
"art-icle","article",131879,"A05"
"veh-icle","vehicle",178858,"A07"
"art-icle","Article",193958,"A07"
"art-icle","article",194138,"A07"
"art-icle","Article",194263,"A07"
"art-icle","articles",194310,"A07"
"art-icle","articles",194330,"A07"
"art-icle","Article",194356,"A07"
"art-icle","Article",194524,"A07"
"art-icle","Article",194603,"A07"
"art-icle","Article",194691,"A07"
"art-icle","article",194731,"A07"
"art-icle","article",194771,"A07"
"art-icle","Article",194999,"A07"
"art-icle","articles",195305,"A07"
"art-icle","Article",195361,"A07"
"art-icle","articles",195857,"A07"
"art-icle","Article",198684,"A07"
"art-icle","Article",201889,"A07"
"art-icle","Article",202853,"A07"
"art-icle","articles",203401,"A07"
"art-icle","Article",204368,"A07"
"art-icle","articles",205073,"A07"
"art-icle","article",206116,"A07"
"art-icle","Article",208269,"A07"
"veh-icle","vehicle",208710,"A07"
"veh-icle","vehicle",210001,"A07"
"art-icle","articles",241988,"A08"
"art-icle","Article",258059,"A08"
"art-icle","articles",258824,"A08"
"art-icle","article",260978,"A08"
"art-icle","article",262690,"A08"
"part-icle","particles",265139,"A0A"
"art-icle","article",274043,"A0B"
"art-icle","article",291695,"A0C"
"art-icle","article",291986,"A0C"
"veh-icle","vehicle",296257,"A0C"
"veh-icle","vehicles",300476,"A0C"
"art-icle","article",325139,"A0D"
"art-icle","ARTICLE",370769,"A0E"
"art-icle","article",433423,"A0G"
"art-icle","articles",433650,"A0G"
"part-icle","particles",440833,"A0G"
"veh-icle","vehicle",449476,"A0G"
"veh-icle","vehicles",476769,"A0H"
"veh-icle","vehicles",476779,"A0H"
"veh-icle","vehicle",485879,"A0H"
"veh-icle","vehicles",540301,"A0J"
"veh-icle","vehicle",540314,"A0J"
"veh-icle","vehicle",540350,"A0J"
"veh-icle","Vehicle",540356,"A0J"
"veh-icle","vehicle",540607,"A0J"
"veh-icle","vehicles",540610,"A0J"
"veh-icle","vehicle",554331,"A0K"
"art-icle","article",554826,"A0K"
"art-icle","articles",555451,"A0K"
"art-icle","articles",555542,"A0K"
"art-icle","articles",556290,"A0K"
"art-icle","article",556367,"A0K"
"art-icle","article",564201,"A0K"
"art-icle","article",564315,"A0K"
"art-icle","article",564402,"A0K"
"art-icle","article",564936,"A0K"
"art-icle","article",578302,"A0K"
"veh-icle","vehicle",578613,"A0K"
"chron-icle","Chronicle",580905,"A0K"
"art-icle","article",586872,"A0L"
"art-icle","article",586978,"A0L"
"art-icle","article",592005,"A0L"
"art-icle","article",598382,"A0L"
"art-icle","article",599871,"A0L"
"art-icle","articles",713570,"A0P"
"chron-icle","Chronicle",713594,"A0P"
"veh-icle","vehicle",724532,"A0P"
"veh-icle","vehicles",745021,"A0P"
"art-icle","article",746170,"A0P"
"art-icle","article",746353,"A0P"
"test-icle","testicles",764491,"A0R"
"part-icle","particle",828443,"A0T"
"art-icle","articles",896690,"A0V"
"art-icle","articles",898378,"A0V"
"art-icle","article",898726,"A0V"
"clav-icle","clavicles",911595,"A0W"
"art-icle","article",922501,"A0X"
"part-icle","particles",924926,"A0X"
"art-icle","article",926069,"A0X"
"art-icle","article",926581,"A0X"
"art-icle","articles",926655,"A0X"
"art-icle","article",926820,"A0X"
"art-icle","article",927485,"A0X"
"art-icle","article",929117,"A0X"
"art-icle","articles",929152,"A0X"
"art-icle","article",929622,"A0X"
"art-icle","article",931735,"A0X"
"art-icle","article",931768,"A0X"
"art-icle","article",937336,"A0X"
"art-icle","article",940813,"A0X"
"art-icle","articles",946264,"A0X"
"art-icle","article",947514,"A0X"
"art-icle","article",953779,"A0X"
"art-icle","article",953907,"A0X"
"art-icle","articles",957956,"A0X"
"art-icle","ARTICLES",987914,"A10"
"veh-icle","vehicle",991218,"A10"
"art-icle","Articles",994014,"A10"
"art-icle","ARTICLES",997283,"A10"
"art-icle","articles",997808,"A10"
"art-icle","articles",998675,"A10"
"veh-icle","vehicles",1008305,"A11"
"veh-icle","vehicles",1009144,"A11"
"veh-icle","vehicle",1009269,"A11"
"veh-icle","vehicles",1009418,"A11"
"veh-icle","vehicles",1011425,"A11"
"veh-icle","vehicles",1011956,"A11"
"veh-icle","vehicles",1011969,"A11"
"veh-icle","vehicles",1013496,"A11"
"veh-icle","vehicles",1013753,"A11"
"veh-icle","vehicles",1022222,"A11"
"veh-icle","vehicles",1022952,"A11"
"veh-icle","vehicles",1023036,"A11"
"veh-icle","vehicles",1023617,"A11"
"veh-icle","vehicles",1023897,"A11"
"veh-icle","vehicle",1023950,"A11"
"veh-icle","vehicle",1024037,"A11"
"veh-icle","vehicles",1024803,"A11"
"veh-icle","vehicles",1025186,"A11"
"veh-icle","vehicles",1027009,"A11"
"veh-icle","vehicles",1027012,"A11"
"veh-icle","vehicles",1030079,"A11"
"veh-icle","vehicles",1030834,"A11"
"veh-icle","vehicle",1031498,"A11"
"veh-icle","freightvehicle",1031694,"A11"
"veh-icle","vehicle",1031733,"A11"
"veh-icle","vehicle",1031795,"A11"
"veh-icle","vehicles",1032287,"A11"
"veh-icle","vehicles",1032294,"A11"
"veh-icle","vehicle",1032345,"A11"
"veh-icle","vehicle",1032796,"A11"
"veh-icle","vehicle",1033699,"A11"
"veh-icle","vehicles",1035725,"A11"
"veh-icle","vehicles",1036065,"A11"
"veh-icle","vehicles",1039404,"A11"
"veh-icle","vehicles",1039462,"A11"
"veh-icle","vehicles",1039511,"A11"
"veh-icle","vehicles",1039566,"A11"
"veh-icle","vehicles",1039580,"A11"
"veh-icle","vehicle",1039794,"A11"
"veh-icle","vehicles",1040304,"A11"
"veh-icle","vehicle",1040409,"A11"
"veh-icle","vehicles",1040429,"A11"
"veh-icle","vehicles",1040538,"A11"
"veh-icle","vehicles",1040656,"A11"
"veh-icle","vehicle",1040664,"A11"
"veh-icle","vehicles",1040673,"A11"
"veh-icle","vehicles",1041452,"A11"
"veh-icle","vehicle",1042239,"A11"
"veh-icle","vehicles",1047371,"A11"
"veh-icle","vehicles",1047698,"A11"
"veh-icle","vehicles",1048088,"A11"
"veh-icle","vehicles",1048965,"A11"
"veh-icle","vehicle",1050177,"A11"
"art-icle","Articles",1105958,"A13"
"art-icle","article",1127883,"A14"
"art-icle","article",1127962,"A14"
"art-icle","article",1142091,"A15"
"art-icle","articles",1149814,"A15"
"art-icle","article",1149944,"A15"
"art-icle","article",1151892,"A15"
"art-icle","article",1163285,"A15"
"art-icle","article",1164396,"A15"
"art-icle","articles",1167062,"A16"
"art-icle","article",1167093,"A16"
"part-icle","particles",1169781,"A16"
"cub-icle","cubicles",1180488,"A16"
"art-icle","article",1201196,"A16"
"art-icle","article",1211682,"A17"
"art-icle","article",1213809,"A17"
"art-icle","article",1219912,"A17"
"art-icle","article",1219964,"A17"
"art-icle","article",1220168,"A17"
"part-icle","particle",1240962,"A18"
"veh-icle","vehicle",1242429,"A18"
"chron-icle","chronicle",1257670,"A18"
"chron-icle","chronicle",1257699,"A18"
"chron-icle","chronicle",1257799,"A18"
"chron-icle","CHRONICLE",1257811,"A18"
"chron-icle","chronicle",1258020,"A18"
"chron-icle","chronicle",1258352,"A18"
"chron-icle","chronicle",1258659,"A18"
"chron-icle","chronicle",1261084,"A18"
"chron-icle","chronicle",1261157,"A18"
"chron-icle","provincial-chronicle",1266863,"A18"
"art-icle","article",1269849,"A19"
"art-icle","article",1276752,"A19"
"art-icle","article",1279919,"A19"
"part-icle","particles",1280198,"A19"
"part-icle","particles",1280318,"A19"
"part-icle","particles",1280343,"A19"
"art-icle","articles",1280475,"A19"
"art-icle","articles",1281553,"A19"
"art-icle","article",1281797,"A19"
"part-icle","particle",1283593,"A19"
"art-icle","articles",1294002,"A19"
"art-icle","article",1295148,"A19"
"part-icle","particle",1304896,"A19"
"part-icle","particles",1304901,"A19"
"part-icle","particle",1304970,"A19"
"part-icle","particles",1304995,"A19"
"part-icle","particles",1305035,"A19"
"art-icle","article",1310055,"A19"
"art-icle","article",1310279,"A19"
"art-icle","article",1310338,"A19"
"art-icle","article",1310405,"A19"
"veh-icle","vehicle",1313461,"A19"
"veh-icle","vehicle",1313493,"A19"
"veh-icle","vehicle",1313536,"A19"
"veh-icle","vehicle",1313555,"A19"
"art-icle","article",1316933,"A1A"
"art-icle","article",1320255,"A1A"
"art-icle","articles",1320285,"A1A"
"veh-icle","vehicle",1333450,"A1A"
"art-icle","review-article",1336432,"A1A"
"art-icle","articles",1338051,"A1A"
"art-icle","review-articles",1338569,"A1A"
"art-icle","articles",1338689,"A1A"
"art-icle","article",1340931,"A1A"
"art-icle","articles",1340972,"A1A"
"art-icle","articles",1343352,"A1A"
"art-icle","article",1344692,"A1A"
"art-icle","articles",1346628,"A1A"
"art-icle","articles",1349275,"A1A"
"art-icle","article",1350384,"A1A"
"art-icle","review-articles",1360227,"A1A"
"chron-icle","Chronicle",1360843,"A1B"
"art-icle","articles",1365837,"A1B"
"art-icle","article",1370069,"A1B"
"art-icle","article",1370474,"A1B"
"art-icle","articles",1375581,"A1B"
"art-icle","article",1380195,"A1B"
"veh-icle","vehicle",1386878,"A1B"
"chron-icle","chronicle",1396791,"A1B"
"art-icle","article",1410024,"A1B"
"art-icle","article",1411367,"A1B"
"veh-icle","vehicle",1424934,"A1E"
"art-icle","Article",1431426,"A1F"
"art-icle","Article",1433082,"A1F"
"art-icle","article",1433120,"A1F"
"art-icle","article",1435210,"A1F"
"art-icle","article",1435256,"A1F"
"art-icle","article",1447667,"A1G"
"art-icle","articles",1454683,"A1H"
"art-icle","article",1465640,"A1J"
"veh-icle","vehicles",1465853,"A1J"
"art-icle","article",1489751,"A1N"
"veh-icle","vehicle",1504519,"A1S"
"art-icle","article",1517036,"A1T"
"art-icle","Article",1519365,"A1T"
"art-icle","Article",1520863,"A1T"
"art-icle","article",1521612,"A1T"
"art-icle","article",1521749,"A1T"
"art-icle","article",1522341,"A1T"
"art-icle","article",1522486,"A1T"
"art-icle","article",1523848,"A1T"
"art-icle","articles",1542314,"A1V"
"veh-icle","vehicles",1552575,"A1V"
"art-icle","articles",1556516,"A1W"
"art-icle","articles",1556743,"A1W"
"art-icle","articles",1559120,"A1X"
"veh-icle","vehicle",1578590,"A1Y"
"veh-icle","vehicle",1579798,"A20"
"art-icle","articles",1582804,"A21"
"veh-icle","vehicle",1599041,"A25"
"veh-icle","vehicles",1603501,"A26"
"veh-icle","vehicles",1613336,"A26"
"art-icle","Article",1619601,"A27"
"art-icle","article",1620720,"A27"
"art-icle","Article",1620842,"A27"
"veh-icle","vehicle",1621165,"A27"
"veh-icle","vehicles",1621193,"A27"
"art-icle","article",1623209,"A27"
"veh-icle","vehicles",1625942,"A28"
"veh-icle","vehicles",1625966,"A28"
"art-icle","article",1627153,"A28"
"art-icle","articles",1638198,"A29"
"art-icle","articles",1652115,"A2A"
"art-icle","articles",1652335,"A2A"
"veh-icle","vehicle",1659494,"A2B"
"veh-icle","vehicle",1688662,"A2G"
"art-icle","articles",1698489,"A2H"
"art-icle","Article",1710674,"A2J"
"art-icle","Article",1711913,"A2J"
"art-icle","article",1714230,"A2J"
"art-icle","article",1714652,"A2J"
