"Token","Academic","NonAcademic","c","d","GStat","Association"
"lot",36,756,1139631,3504411,233.951648828145,"nonacademic"
"bit",5,392,1139662,3504775,181.088075095283,"nonacademic"
"couple",13,335,1139654,3504832,114.176518081739,"nonacademic"
"cup",1,124,1139666,3505043,60.9787888360164,"nonacademic"
"hell",0,35,1139667,3505132,19.706308560221,"nonacademic"
"load",2,53,1139665,3505114,18.2779645831775,"nonacademic"
"bottle",1,41,1139666,3505126,16.4432336856121,"nonacademic"
"glass",0,25,1139667,3505142,14.075917185193,"nonacademic"
"friend",2,40,1139665,3505127,12.0602528929196,"nonacademic"
"look",0,20,1139667,3505147,11.2607267479614,"nonacademic"
"pint",0,20,1139667,3505147,11.2607267479614,"nonacademic"
"drink",0,18,1139667,3505149,10.1346515535744,"nonacademic"
"hint",0,17,1139667,3505150,9.57161416644101,"nonacademic"
"bowl",0,16,1139667,3505151,9.00857691838792,"nonacademic"
"pair",15,97,1139652,3505070,8.55684433388553,"nonacademic"
"bag",0,14,1139667,3505153,7.88250284345201,"nonacademic"
"director",0,14,1139667,3505153,7.88250284345201,"nonacademic"
"touch",1,23,1139666,3505144,7.44602046591858,"nonacademic"
"sort",15,92,1139652,3505075,7.21518073179864,"nonacademic"
"box",0,12,1139667,3505155,6.75642932900003,"nonacademic"
"packet",0,11,1139667,3505156,6.19339278183358,"nonacademic"
"waste",1,20,1139666,3505147,6.03010639602726,"nonacademic"
"picture",7,53,1139660,3505114,6.283531746189,"nonacademic"
"tin",0,10,1139667,3505157,5.63035637374698,"nonacademic"
"gesture",0,10,1139667,3505157,5.63035637374698,"nonacademic"
"pot",0,10,1139667,3505157,5.63035637374698,"nonacademic"
"profit",0,10,1139667,3505157,5.63035637374698,"nonacademic"
"kind",26,130,1139641,3505037,5.6806349723708,"nonacademic"
"show",0,9,1139667,3505158,5.06732010656895,"nonacademic"
"vision",0,9,1139667,3505158,5.06732010656895,"nonacademic"
"pack",0,9,1139667,3505158,5.06732010656895,"nonacademic"
"tour",0,8,1139667,3505159,4.50428398002722,"nonacademic"
"week",0,8,1139667,3505159,4.50428398002722,"nonacademic"
"taste",0,8,1139667,3505159,4.50428398002722,"nonacademic"
