"Binomial","OrderA","OrderB","Frozenness","MoreSonorant"
"day and age",106,0,1.0000,"first"
"fire and life",31,0,1.0000,"first"
"pay and file",33,0,1.0000,"first"
"beck and call",40,0,1.0000,"second"
"bread and jam",30,0,1.0000,"second"
"bride and groom",94,0,1.0000,"second"
"cat and mouse",37,0,1.0000,"second"
"life and limb",44,0,1.0000,"second"
"light and shade",56,0,1.0000,"second"
"park and ride",45,0,1.0000,"second"
"rank and file",159,0,1.0000,"second"
"right and wrong",126,0,1.0000,"second"
"rock and roll",106,0,1.0000,"second"
"tooth and nail",38,0,1.0000,"second"
"touch and go",43,0,1.0000,"second"
"track and field",47,0,1.0000,"second"
"life and work",147,1,0.9932,"first"
"flesh and blood",109,1,0.9909,"first"
"fish and chip",103,1,0.9904,"first"
"horse and cart",74,1,0.9867,"first"
"ebb and flow",68,1,0.9855,"second"
"heart and soul",57,1,0.9828,"second"
"hip and thigh",50,1,0.9804,"second"
"lock and key",44,1,0.9778,"second"
"iron and steel",127,3,0.9769,"second"
"bread and wine",42,1,0.9767,"second"
"wife and son",35,1,0.9722,"second"
"song and dance",68,2,0.9714,"first"
"head and tail",34,1,0.9714,"second"
"rise and fall",170,5,0.9714,"second"
"sight and sound",33,1,0.9706,"second"
"start and end",33,1,0.9706,"second"
"stock and barrel",30,1,0.9677,"second"
"wife and child",54,2,0.9643,"first"
"bread and cheese",81,3,0.9643,"second"
"hand and foot",52,2,0.9630,"first"
"church and state",102,4,0.9623,"first"
"knife and fork",87,4,0.9560,"first"
"oil and gas",392,26,0.9378,"first"
"fruit and veg",36,3,0.9231,"second"
"pride and joy",66,6,0.9167,"second"
"food and fuel",30,4,0.8824,"second"
"stress and strain",37,5,0.8810,"second"
"face and neck",59,9,0.8676,"first"
"wind and rain",94,15,0.8624,"second"
"size and weight",31,5,0.8611,"first"
"heart and lung",30,5,0.8571,"second"
"league and cup",41,7,0.8542,"first"
"head and neck",79,14,0.8495,"first"
"love and care",33,6,0.8462,"second"
"boy and girl",43,8,0.8431,"first"
"food and wine",74,14,0.8409,"second"
"age and sex",145,32,0.8192,"first"
"meat and fish",30,7,0.8108,"second"
"war and peace",71,17,0.8068,"first"
"time and place",187,45,0.8060,"first"
"road and rail",67,18,0.7882,"second"
"land and sea",51,15,0.7727,"second"
"north and west",112,36,0.7568,"first"
"day and night",310,101,0.7543,"first"
"date and time",74,25,0.7475,"second"
"date and place",28,10,0.7368,"second"
"south and east",119,44,0.7301,"first"
"home and school",43,16,0.7288,"second"
"north and east",68,27,0.7158,"first"
"snow and ice",53,22,0.7067,"first"
"size and shape",116,53,0.6864,"first"
"south and west",73,37,0.6636,"first"
"science and art",30,16,0.6522,"first"
"time and cost",30,21,0.5882,"first"
"nose and mouth",35,26,0.5738,"first"
"care and skill",36,30,0.5455,"first"
"mum and dad",490,5,0.9899,"first"
"food and drink",333,4,0.9881,"first"
"mind and body",138,51,0.7302,"second"
"man and wife",63,1,0.9844,"first"
"front and rear",30,2,0.9375,"second"
"arm and leg",31,9,0.7750,"first"
