"Token","FreqLabour","FreqLibdem","c","d","GStat","Association"
"&bull;",146,300,33763,21173,148.959854228217,"libdem"
"liberal",0,47,33909,21426,89.124130747822,"libdem"
"would",11,68,33898,21405,75.9873365096059,"libdem"
"democrats",0,40,33909,21433,75.84232521548,"libdem"
"which",37,92,33872,21381,56.1546494396744,"libdem"
"also",50,88,33859,21385,35.1923833874924,"libdem"
"of",770,665,33139,20808,34.8828914543474,"libdem"
"environmental",15,46,33894,21427,33.8713281761564,"libdem"
"green",3,26,33906,21447,32.9373835642898,"libdem"
"establish",7,33,33902,21440,32.3254596614869,"libdem"
"powers",6,29,33903,21444,28.7874998783362,"libdem"
"will",517,460,33392,21013,28.3437609413783,"libdem"
"taxation",0,14,33909,21459,26.5344227502476,"libdem"
"the",1559,1194,32350,20279,25.4913971923589,"libdem"
"energy",9,31,33900,21442,24.9379094449085,"libdem"
"such",9,31,33900,21442,24.9379094449085,"libdem"
"replace",0,13,33909,21460,24.6387359456638,"libdem"
"nations",4,22,33905,21451,23.2987728109278,"libdem"
"should",34,59,33875,21414,23.0776553952554,"libdem"
"long",3,20,33906,21453,23.0393537946845,"libdem"
"encourage",11,32,33898,21441,22.5454319366916,"libdem"
"current",5,23,33904,21450,22.2237069877259,"libdem"
"this",70,92,33839,21381,21.4949320631155,"libdem"
"allow",6,24,33903,21449,21.3523853431701,"libdem"
"freedom",10,29,33899,21444,20.3757784834138,"libdem"
"%",0,11,33909,21462,20.847533558845,"libdem"
"end",6,23,33903,21450,19.9111791992215,"libdem"
"believe",5,21,33904,21452,19.2513651309395,"libdem"
"protect",8,25,33901,21448,18.6787962997129,"libdem"
"require",1,13,33908,21460,18.4145042496128,"libdem"
"introducing",1,13,33908,21460,18.4145042496128,"libdem"
"rather",1,13,33908,21460,18.4145042496128,"libdem"
"reduce",16,34,33893,21439,17.4548515602801,"libdem"
"government",64,81,33845,21392,17.3135837024813,"libdem"
"unnecessary",0,9,33909,21464,17.0565594439016,"libdem"
"committee",0,9,33909,21464,17.0565594439016,"libdem"
"transport",25,43,33884,21430,16.5851501520804,"libdem"
"safety",10,26,33899,21447,16.5497104260274,"libdem"
".",1509,1118,32400,20355,16.4772679947846,"libdem"
"local",88,100,33821,21373,16.0319419055043,"libdem"
"action",14,30,33895,21443,15.5530820642918,"libdem"
"year-olds",0,8,33909,21465,15.1611579791888,"libdem"
"give",24,40,33885,21433,14.6816909742706,"libdem"
"scheme",4,16,33905,21457,14.2323353039119,"libdem"
"provide",25,41,33884,21432,14.660649037267,"libdem"
"too",18,33,33891,21440,13.9829038909904,"libdem"
"policies",8,21,33901,21452,13.4875277046924,"libdem"
"ministers",1,10,33908,21463,13.2308224286633,"libdem"
"tuition",1,10,33908,21463,13.2308224286633,"libdem"
"impact",1,10,33908,21463,13.2308224286633,"libdem"
"pollution",7,20,33902,21453,13.870126261358,"libdem"
"sta",0,7,33909,21466,13.265813571351,"libdem"
"immediate",0,7,33909,21466,13.265813571351,"libdem"
"needed",0,7,33909,21466,13.265813571351,"libdem"
"setting",6,18,33903,21455,13.0090544822263,"libdem"
"regions",7,19,33902,21454,12.5879108752019,"libdem"
"businesses",7,19,33902,21454,12.5879108752019,"libdem"
"account",3,13,33906,21460,12.1383931621504,"libdem"
"discrimination",3,13,33906,21460,12.1383931621504,"libdem"
"police",30,43,33879,21430,12.0602883183062,"libdem"
"strengthen",9,21,33900,21452,11.9784047928208,"libdem"
"by",222,197,33687,21276,11.8401629226027,"libdem"
"resources",10,22,33899,21451,11.7571241719458,"libdem"
"bank",2,11,33907,21462,11.6466828133756,"libdem"
"include",2,11,33907,21462,11.6466828133756,"libdem"
"vehicles",2,11,33907,21462,11.6466828133756,"libdem"
"air",2,11,33907,21462,11.6466828133756,"libdem"
"order",1,9,33908,21464,11.5357346965162,"libdem"
"present",1,9,33908,21464,11.5357346965162,"libdem"
"fisheries",1,9,33908,21464,11.5357346965162,"libdem"
"existing",4,14,33905,21459,11.3877532206234,"libdem"
"introduce",17,29,33892,21444,11.0389957367982,"libdem"
"thatcher",0,6,33909,21467,11.370526216723,"libdem"
"restore",0,6,33909,21467,11.370526216723,"libdem"
"prisons",0,6,33909,21467,11.370526216723,"libdem"
"objectives",0,6,33909,21467,11.370526216723,"libdem"
"taxpayers",0,6,33909,21467,11.370526216723,"libdem"
"council",9,20,33900,21453,10.8106768378597,"libdem"
"authority",3,12,33906,21461,10.6732811782886,"libdem"
"class",3,12,33906,21461,10.6732811782886,"libdem"
"use",34,45,33875,21428,10.6653986373728,"libdem"
"commission",14,25,33895,21448,10.1960080132251,"libdem"
"eu",25,36,33884,21437,10.1878614552419,"libdem"
"european",24,35,33885,21438,10.1523640296706,"libdem"
"on",226,195,33683,21278,9.98042247914049,"libdem"
"legislation",8,18,33901,21455,9.86588583590697,"libdem"
"fishing",1,8,33908,21465,9.86305109311833,"libdem"
"railways",1,8,33908,21465,9.86305109311833,"libdem"
"funded",1,8,33908,21465,9.86305109311833,"libdem"
"railway",1,8,33908,21465,9.86305109311833,"libdem"
"capability",0,5,33909,21468,9.47529591162626,"libdem"
"monopolies",0,5,33909,21468,9.47529591162626,"libdem"
"proposed",0,5,33909,21468,9.47529591162626,"libdem"
"mandatory",0,5,33909,21468,9.47529591162626,"libdem"
"moment",0,5,33909,21468,9.47529591162626,"libdem"
"impose",0,5,33909,21468,9.47529591162626,"libdem"
"audit",0,5,33909,21468,9.47529591162626,"libdem"
"sunday",0,5,33909,21468,9.47529591162626,"libdem"
"votes",0,5,33909,21468,9.47529591162626,"libdem"
"fundamental",0,5,33909,21468,9.47529591162626,"libdem"
"replacing",0,5,33909,21468,9.47529591162626,"libdem"
"liberties",0,5,33909,21468,9.47529591162626,"libdem"
"criteria",0,5,33909,21468,9.47529591162626,"libdem"
"regimes",0,5,33909,21468,9.47529591162626,"libdem"
"abolishing",0,5,33909,21468,9.47529591162626,"libdem"
"meetings",0,5,33909,21468,9.47529591162626,"libdem"
"hate",0,5,33909,21468,9.47529591162626,"libdem"
"ensure",52,59,33857,21414,9.40227400948154,"libdem"
"bodies",3,11,33906,21462,9.24165409509506,"libdem"
"accountable",3,11,33906,21462,9.24165409509506,"libdem"
"central",6,15,33903,21458,9.18689480096563,"libdem"
"fuel",8,17,33901,21456,8.72335885508735,"libdem"
"cost",4,12,33905,21461,8.67142420586122,"libdem"
"different",2,9,33907,21464,8.58718686131449,"libdem"
"entitlement",2,9,33907,21464,8.58718686131449,"libdem"
"taxes",2,9,33907,21464,8.58718686131449,"libdem"
"could",2,9,33907,21464,8.58718686131449,"libdem"
"used",2,9,33907,21464,8.58718686131449,"libdem"
"regeneration",2,9,33907,21464,8.58718686131449,"libdem"
"companies",10,19,33899,21454,8.45670164615549,"libdem"
"teachers",21,30,33888,21443,8.35514521839827,"libdem"
"against",13,22,33896,21451,8.26868884118341,"libdem"
"these",17,26,33892,21447,8.24104030847997,"libdem"
"adequate",1,7,33908,21466,8.21839794840754,"libdem"
"kingdom",1,7,33908,21466,8.21839794840754,"libdem"
"bureaucracy",1,7,33908,21466,8.21839794840754,"libdem"
