"Verb","GoingP1","WillP1","GoingP2","WillP2","GoingP3","WillP3"
"a-new",0,1,0,0,0,0
"abandon",0,6,0,8,0,4
"abash",0,1,0,0,0,0
"abate",0,2,0,2,0,1
"abet",0,1,0,1,0,0
"abhor",0,0,0,2,0,0
"abide",0,7,0,10,0,3
"abolish",0,0,0,0,0,2
"abound",0,0,0,1,0,2
"abscond",0,1,0,0,0,0
"absent",0,1,0,0,0,0
"absolve",0,5,0,2,0,0
"absorb",0,0,0,2,0,3
"abstain",0,1,0,2,0,1
"abuse",3,12,0,4,2,3
"accede",0,1,0,2,0,0
"accelerate",0,1,0,1,0,0
"accept",1,67,1,38,2,43
"acclaim",0,0,0,0,0,1
"accommodate",0,2,0,1,0,2
"accompany",0,16,0,27,0,7
"accomplish",0,3,0,5,0,7
"accord",0,0,0,1,0,3
"accost",0,0,0,4,0,0
"account",1,26,0,17,0,9
"accrue",0,2,0,2,0,1
"accumulate",0,3,0,4,0,3
"accuse",0,7,0,3,0,2
"achieve",0,0,0,1,0,3
"acknowledge",0,22,0,23,0,10
"acknowlege",0,1,0,0,0,0
"acquaint",3,35,0,4,0,1
"acquiesce",0,6,0,2,0,1
"acquire",0,11,0,15,0,8
"acquit",0,11,0,2,0,0
"act",1,29,2,27,3,33
"adapt",0,1,0,1,0,2
"add",3,84,2,52,3,32
"addict",0,0,0,1,0,0
"address",0,1,2,4,0,4
"adduce",0,0,0,1,0,1
"adhere",0,4,0,5,0,1
"adjourn",0,2,0,0,0,2
"adjudge",0,0,0,1,0,0
"adjust",0,2,0,4,0,0
"administer",1,1,0,1,0,1
"admire",0,8,0,5,1,3
"admit",0,61,0,61,0,51
"adopt",0,3,1,6,1,10
"adore",0,1,0,2,0,0
"adorn",1,2,0,2,0,1
"advance",1,8,1,8,0,7
"advantage",0,0,0,1,0,0
"adventure",0,2,0,0,0,0
"advert",0,0,0,1,0,1
"advertise",0,2,0,3,1,0
"advise",0,9,2,5,1,1
"affect",0,22,0,15,0,13
"affirm",0,12,0,2,0,2
"afflict",0,5,0,1,0,2
"afford",1,68,0,42,0,24
"affront",0,3,0,2,0,0
"aggravate",0,7,0,2,0,0
"agitate",0,1,0,2,0,0
"agree",0,24,0,41,0,34
"aid",0,1,2,7,0,6
"aim",0,0,0,1,0,5
"alarm",0,1,0,5,0,0
"alight",0,0,1,1,0,0
"allay",0,0,0,1,0,0
"allege",0,2,0,1,0,0
"alleviate",0,4,0,0,0,0
"allow",0,194,1,105,5,101
"allude",0,0,0,1,0,4
"allure",0,1,0,0,0,0
"ally",0,0,0,1,0,0
"alter",0,8,0,12,2,8
"amalgamate",0,0,0,1,0,0
"amaze",0,2,0,1,0,0
"amble",0,1,0,0,0,0
"ameliorate",0,0,0,1,0,0
