"Noun","FreqCx","FreqCorpus","PercentCx"
"number",15136,47462,0.318907757785175
"lot",14632,27961,0.52330031114767
"couple",7042,11736,0.600034083162918
"series",5985,14222,0.420826887920124
"result",5610,21910,0.256047466910087
"bit",5026,26470,0.189875330562901
"matter",4600,21745,0.211542883421476
"variety",4284,8652,0.495145631067961
"member",3950,17385,0.227207362668967
"group",3540,41151,0.0860246409564774
"range",3359,19776,0.169852346278317
"kind",2599,23549,0.110365620620833
"piece",2535,9012,0.281291611185087
"sense",2503,21349,0.117242025387606
"period",2397,24108,0.0994275759084121
"set",2356,43268,0.0544513266155126
"pair",2331,5924,0.393484132343011
"sort",2315,26623,0.0869548886301318
"total",1994,16141,0.123536336038659
"way",1967,95701,0.020553599230938
"list",1950,12451,0.156613926592242
"copy",1760,5814,0.302717578259374
"part",1661,53414,0.0310967162167222
"means",1619,26193,0.0618104073607452
"form",1532,33112,0.0462672143029717
"quarter",1428,7175,0.199024390243902
"cup",1414,11934,0.118485000837942
"combination",1409,4315,0.326535341830823
"state",1343,38539,0.0348478164975739
"mixture",1231,3182,0.38686360779384
"question",1173,25645,0.0457399103139013
"lack",1129,9528,0.118492863140218
"source",1087,8942,0.121561171997316
"system",1041,44156,0.0235755050276293
"bottle",967,3929,0.246118605243064
"man",965,58748,0.0164260911009736
"handful",964,1350,0.714074074074074
"third",964,17418,0.0553450453553795
"degree",921,9639,0.0955493308434485
"change",915,31466,0.0290790059111422
"few",907,42089,0.0215495735227732
"picture",897,10604,0.0845907204828367
"collection",893,7739,0.115389585217728
"case",891,45074,0.019767493455207
"study",885,21857,0.0404904607219655
"measure",879,6390,0.137558685446009
"meeting",827,20463,0.040414406489762
"friend",819,16340,0.0501223990208078
"consequence",813,3381,0.240461401952085
"selection",713,5990,0.119031719532554
"time",696,152133,0.00457494429216541
"glass",690,9338,0.0738916256157636
"point",688,39361,0.0174792307106019
"choice",685,11837,0.05786939258258
"team",657,17622,0.0372829417773238
"maximum",648,4881,0.132759680393362
"feeling",640,12003,0.0533200033325002
"breach",639,3171,0.201513718070009
"minimum",628,4848,0.12953795379538
"majority",624,9816,0.0635696821515892
"host",613,2952,0.207655826558266
"load",607,3063,0.198171727064969
"review",601,9573,0.0627807374908597
"sign",593,7883,0.0752251680832171
"history",591,18938,0.0312070968423276
"waste",577,6609,0.0873051898925707
"succession",570,1755,0.324786324786325
"programme",568,18364,0.0309300805924635
"process",564,22402,0.0251763235425408
"function",558,8453,0.0660120667218739
"bunch",549,1185,0.463291139240506
"touch",536,7756,0.0691077875193399
"survey",531,8101,0.0655474632761388
"network",526,7185,0.0732080723729993
"note",525,10090,0.0520317145688801
"loss",522,11055,0.0472184531886024
"proportion",503,6506,0.0773132493083308
"world",490,57447,0.00852960119762564
"string",488,2557,0.190848650762612
"glimpse",482,981,0.491335372069317
"hint",482,1430,0.337062937062937
"sample",482,4499,0.10713491887086
"cost",480,19876,0.0241497283155565
"description",475,4992,0.0951522435897436
"feature",473,6083,0.0777576853526221
