"Word","a","b","c","d","GStat","Frequency"
"lot",14632,13329,245429,98090393,135898.957227075,"higher"
"number",15136,32326,244925,98071396,121310.719785588,"higher"
"couple",7042,4694,253019,98099028,68015.2496548105,"higher"
"series",5985,8237,254076,98095485,51871.3528618139,"higher"
"result",5610,16300,254451,98087422,41874.064134155,"higher"
"variety",4284,4368,255777,98099354,38955.5834801259,"higher"
"bit",5026,21444,255035,98082278,34141.5628053497,"higher"
"matter",4600,17145,255461,98086577,32336.9582762271,"higher"
"member",3950,13435,256111,98090287,28388.2027044336,"higher"
"range",3359,16417,256702,98087305,21982.0879712574,"higher"
"pair",2331,3593,257730,98100129,19769.6202291677,"higher"
"piece",2535,6477,257526,98097245,19442.4284670563,"higher"
"group",3540,37611,256521,98066111,18133.7293767159,"higher"
"kind",2599,20950,257462,98082772,14632.4618659249,"higher"
"sense",2503,18846,257558,98084876,14405.3246763397,"higher"
"copy",1760,4054,258301,98099668,13796.5274805326,"higher"
"period",2397,21711,257664,98082011,12977.3856016015,"higher"
"list",1950,10501,258111,98093221,12410.5328103811,"higher"
"sort",2315,24308,257746,98079414,11898.8592696209,"higher"
"total",1994,14147,258067,98089575,11689.8120811663,"higher"
"combination",1409,2906,258652,98100816,11297.6509072268,"higher"
"mixture",1231,1951,258830,98101771,10382.4791898795,"higher"
"set",2356,40912,257705,98062810,9908.83695871061,"higher"
"handful",964,386,259097,98103336,9833.42000336913,"higher"
"quarter",1428,5747,258633,98097975,9828.59533429621,"higher"
"cup",1414,10520,258647,98093202,8163.25112610179,"higher"
"means",1619,24574,258442,98079148,7209.21235482564,"higher"
"bottle",967,2962,259094,98100760,7113.49022653713,"higher"
"lack",1129,8399,258932,98095323,6516.86624223411,"higher"
"source",1087,7855,258974,98095867,6332.24893826742,"higher"
"form",1532,31580,258529,98072142,5953.02062413086,"higher"
"consequence",813,2568,259248,98101154,5937.23934326522,"higher"
"measure",879,5511,259182,98098211,5348.19934875221,"higher"
"part",1661,51753,258400,98051969,5201.40207642609,"higher"
"collection",893,6846,259168,98096876,5104.50065588411,"higher"
"degree",921,8718,259140,98095004,4906.19031053406,"higher"
"bunch",549,636,259512,98103086,4885.34324392436,"higher"
"way",1967,93734,258094,98009988,4682.18609827882,"higher"
"succession",570,1185,259491,98102537,4561.20000740013,"higher"
"picture",897,9707,259164,98094015,4555.67598038063,"higher"
"question",1173,24472,258888,98079250,4530.5874204813,"higher"
"state",1343,37196,258718,98066526,4490.76191155507,"higher"
"breach",639,2532,259422,98101190,4413.70952383871,"higher"
"glimpse",482,499,259579,98103223,4365.70188574277,"higher"
"host",613,2339,259448,98101383,4274.76985968995,"higher"
"load",607,2456,259454,98101266,4170.22450782541,"higher"
"selection",713,5277,259348,98098445,4121.25986172163,"higher"
"third",964,16454,259097,98087268,4080.44831068024,"higher"
"hint",482,948,259579,98102774,3900.00025155871,"higher"
"maximum",648,4233,259413,98099489,3893.60013134935,"higher"
"minimum",628,4220,259433,98099502,3740.92681401211,"higher"
"pile",469,1240,259592,98102482,3566.44002490541,"higher"
"fraction",429,1025,259632,98102697,3334.77148683596,"higher"
"glass",690,8648,259371,98095074,3315.67790993216,"higher"
"string",488,2069,259573,98101653,3312.08240407994,"higher"
"friend",819,15521,259242,98088201,3307.62029242574,"higher"
"study",885,20972,259176,98082750,3210.02711899277,"higher"
"meeting",827,19636,259234,98084086,2996.51907811092,"higher"
"waste",577,6032,259484,98097690,2966.78449079194,"higher"
"choice",685,11152,259376,98092570,2958.86895018785,"higher"
"multitude",295,173,259766,98103549,2886.5887803374,"higher"
"sign",593,7290,259468,98096432,2870.64837148911,"higher"
"majority",624,9192,259437,98094530,2811.0918233736,"higher"
"change",915,30551,259146,98073171,2749.22440307914,"higher"
"system",1041,43115,259020,98060607,2729.66146584803,"higher"
"reflection",389,1502,259672,98102220,2704.266509152,"higher"
"review",601,8972,259460,98094750,2692.5503528843,"higher"
"sample",482,4017,259579,98099705,2680.28933503212,"higher"
"feeling",640,11363,259421,98092359,2661.54697529666,"higher"
"function",558,7895,259503,98095827,2555.4170735699,"higher"
"wealth",438,3193,259623,98100529,2543.441150758,"higher"
"description",475,4517,259586,98099205,2525.51520842509,"higher"
"network",526,6659,259535,98097063,2517.48995059498,"higher"
"touch",536,7220,259525,98096502,2503.56954620085,"higher"
"proportion",503,6003,259558,98097719,2462.50177830502,"higher"
"survey",531,7570,259530,98096152,2424.2591008759,"higher"
"row",441,3965,259620,98099757,2390.43760799379,"higher"
"feature",473,5610,259588,98098112,2321.04124265843,"higher"
"team",657,16965,259404,98086757,2279.29647143212,"higher"
"few",907,41182,259154,98062540,2232.15617777308,"higher"
"shortage",314,1135,259747,98102587,2219.09468874803,"higher"
"note",525,9565,259536,98094157,2157.99584995471,"higher"
"mass",460,6698,259601,98097024,2081.92260794373,"higher"
"case",891,44183,259170,98059539,2056.98693142083,"higher"
"packet",279,857,259782,98102865,2050.32544405182,"higher"
"loss",522,10533,259539,98093189,2047.12485433283,"higher"
"percentage",343,2343,259718,98101379,2032.554652976,"higher"
"symbol",302,1405,259759,98102317,1999.55445526922,"higher"
"pint",274,911,259787,98102811,1976.18788688378,"higher"
"photograph",323,2144,259738,98101578,1930.95918458068,"higher"
"man",965,57783,259096,98045939,1919.80738243902,"higher"
"wave",345,3067,259716,98100655,1877.15923478099,"higher"
"slice",255,791,259806,98102931,1869.63796875386,"higher"
"history",591,18347,259470,98085375,1852.56119434505,"higher"
"sheet",350,3502,259711,98100220,1827.76673137938,"higher"
"sequence",356,3843,259705,98099879,1808.98268684208,"higher"
"programme",568,17796,259493,98085926,1770.99437065487,"higher"
"summary",309,2521,259752,98101201,1730.20468886234,"higher"
"method",426,8534,259635,98095188,1676.18317523693,"higher"
"bowl",275,1832,259786,98101890,1642.13870890806,"higher"
"statement",430,9327,259631,98094395,1628.90828691343,"higher"
"hell",344,4687,259717,98099035,1599.22706216264,"higher"
"continuation",210,556,259851,98103166,1596.21403517786,"higher"
"crowd",323,3808,259738,98099914,1588.40888195814,"higher"
"process",564,21838,259497,98081884,1545.05890819318,"higher"
"minority",293,3033,259768,98100689,1511.58417112295,"higher"
"product",418,10611,259643,98093111,1462.83737222953,"higher"
"flurry",154,122,259907,98103600,1449.97542141662,"higher"
"point",688,38673,259373,98065049,1441.12333309559,"higher"
"layer",256,2086,259805,98101636,1433.97514820356,"higher"
"stream",254,2135,259807,98101587,1408.21942320868,"higher"
"spate",156,165,259905,98103557,1408.09800072676,"higher"
"habit",248,1945,259813,98101777,1406.62518759885,"higher"
"cost",480,19396,259581,98084326,1278.63650439211,"higher"
"gesture",221,1685,259840,98102037,1264.94178370771,"higher"
"director",388,11770,259673,98091952,1232.16471866429,"higher"
"chance",391,12145,259670,98091577,1224.98895859113,"higher"
"flash",190,995,259871,98102727,1217.55419837232,"higher"
"vision",267,3831,259794,98099891,1215.53014759343,"higher"
"mouthful",143,219,259918,98103503,1213.03028042317,"higher"
"pack",239,2627,259822,98101095,1206.34742046162,"higher"
"record",411,14396,259650,98089326,1198.99896212127,"higher"
"sigh",183,885,259878,98102837,1198.88250734775,"higher"
"model",393,12793,259668,98090929,1198.07624781183,"higher"
"cloud",213,1722,259848,98102000,1196.17075091762,"higher"
"portion",182,889,259879,98102833,1189.07084396949,"higher"
"length",317,7073,259744,98096649,1184.24802202302,"higher"
"plethora",122,79,259939,98103643,1179.36536563591,"higher"
"multiplicity",129,138,259932,98103584,1162.31900518926,"higher"
"bundle",159,531,259902,98103191,1145.47390382464,"higher"
"mix",224,2406,259837,98101316,1140.20867516462,"higher"
"box",309,7141,259752,98096581,1134.41190761905,"higher"
"tour",286,6051,259775,98097671,1096.38454013368,"higher"
"reduction",258,4424,259803,98099298,1089.22939030972,"higher"
"rate",424,18090,259637,98085632,1088.91019245666,"higher"
"version",303,7386,259758,98096336,1082.74477766239,"higher"
"dose",188,1445,259873,98102277,1073.24771307464,"higher"
"line",456,22049,259605,98081673,1071.95163639052,"higher"
"gang",182,1319,259879,98102403,1058.65413548033,"higher"
"discussion",307,8025,259754,98095697,1057.84019112489,"higher"
