"Word","He","She","c","d","GStat","Association"
"whisper",393,666,53824,37224,205.213509030231,"she"
"cry",216,395,54001,37495,137.792857031815,"she"
"feel",94,206,54123,37684,92.8582736796259,"she"
"manage",32,116,54185,37774,85.5960328992645,"she"
"snap",174,275,54043,37615,73.8061205295948,"she"
"retort",75,155,54142,37735,64.5876647672653,"she"
"protest",60,136,54157,37754,63.8828166553974,"she"
"giggle",13,61,54204,37829,53.4026088768348,"she"
"try",85,152,54132,37738,50.9082148546456,"she"
"ask",2136,1860,52081,36030,49.9523882508786,"she"
"flush",5,41,54212,37849,46.5313347509488,"she"
"wail",8,46,54209,37844,44.9207452054127,"she"
"swallow",24,71,54193,37819,44.2276081076112,"she"
"gasp",69,125,54148,37765,42.7478681479244,"she"
"exclaim",137,196,54080,37694,42.4370037780204,"she"
"force",9,45,54208,37845,40.8456344052239,"she"
"flare",1,27,54216,37863,40.4086421411062,"she"
"hear",82,130,54135,37760,35.0120478684469,"she"
"sob",13,45,54204,37845,32.0195724567643,"she"
"blush",3,27,54214,37863,31.6506392273931,"she"
"hesitate",137,179,54080,37711,30.8443567099101,"she"
"stare",151,191,54066,37699,30.0539310517402,"she"
"deny",29,63,54188,37827,28.016136711984,"she"
"spit",25,58,54192,37832,27.9895949270515,"she"
"falter",11,38,54206,37852,26.9932219900372,"she"
"think",227,252,53990,37638,25.6916627344613,"she"
"bite",46,78,54171,37812,23.8095977289237,"she"
"know",85,116,54132,37774,22.3747175179301,"she"
"clutch",1,16,54216,37874,21.8815752560009,"she"
"shoot",44,73,54173,37817,21.4175033726723,"she"
"blurt",12,34,54205,37856,20.3263516879965,"she"
"mumble",66,94,54151,37796,20.1017246977624,"she"
"break",110,136,54107,37754,19.9772997281061,"she"
"sniff",21,45,54196,37845,19.6513417037727,"she"
"offer",38,63,54179,37827,18.4557533050975,"she"
"echo",23,46,54194,37844,18.2732270284201,"she"
"glare",43,68,54174,37822,18.2030733778118,"she"
"realise",4,20,54213,37870,18.147861931513,"she"
"wish",8,26,54209,37864,17.5750588465882,"she"
"begin",314,304,53903,37586,16.4207296509838,"she"
"flash",8,25,54209,37865,16.3437003830321,"she"
"close",38,60,54179,37830,16.0099999755607,"she"
"breathe",85,106,54132,37784,15.9696581138781,"she"
"venture",14,32,54203,37858,15.1610242148665,"she"
"shriek",11,28,54206,37862,15.0075627497948,"she"
"croak",17,35,54200,37855,14.4795590377057,"she"
"confess",42,61,54175,37829,13.6367800905054,"she"
"stammer",12,28,54205,37862,13.5985576608977,"she"
"flinch",2,13,54215,37877,13.4365400490106,"she"
"scold",2,13,54215,37877,13.4365400490106,"she"
"slump",2,13,54215,37877,13.4365400490106,"she"
"burst",18,35,54199,37855,13.3415107393017,"she"
"answer",218,216,53999,37674,13.2116356733485,"she"
"shiver",14,29,54203,37861,12.0973685704801,"she"
"frown",105,118,54112,37772,12.566730348626,"she"
"find",55,72,54162,37818,12.445759679475,"she"
"rage",4,15,54213,37875,11.3330572822843,"she"
"blink",23,38,54194,37852,11.0561831706088,"she"
"plead",30,45,54187,37845,10.7983521722312,"she"
"sense",2,11,54215,37879,10.5006616255994,"she"
"wrinkle",2,11,54215,37879,10.5006616255994,"she"
"choke",13,26,54204,37864,10.3249223566328,"she"
"scream",41,55,54176,37835,10.1409392561756,"she"
"twist",10,22,54207,37868,9.93670639383227,"she"
"stop",220,208,53997,37682,9.74698429854539,"she"
"sigh",197,189,54020,37701,9.66381117736042,"she"
"shudder",20,33,54197,37857,9.57713507109395,"she"
"beg",22,35,54195,37855,9.47491833461719,"she"
"squeak",4,13,54213,37877,8.78591071479895,"she"
"moan",25,37,54192,37853,8.62231866201138,"she"
"wonder",27,39,54190,37851,8.60709107015109,"she"
"want",87,94,54130,37796,8.57466240407641,"she"
"query",93,99,54124,37791,8.48512986392983,"she"
"remember",46,57,54171,37833,8.41634367778081,"she"
"lie",53,63,54164,37827,8.16008811062838,"she"
"watch",71,79,54146,37811,8.09562934603514,"she"
"send",11,22,54206,37868,8.7358936669332,"she"
"hurry",15,26,54202,37864,8.241765285788,"she"
"fling",20,31,54197,37859,7.96539536533149,"she"
"freeze",2,9,54215,37881,7.67840576950359,"she"
"subside",2,9,54215,37881,7.67840576950359,"she"
"stiffen",4,12,54213,37878,7.56457256001423,"she"
"prevaricate",1,7,54216,37883,7.46789923733398,"she"
"stab",1,7,54216,37883,7.46789923733398,"she"
"challenge",20,30,54197,37860,7.19690442234364,"she"
"agree",201,183,54016,37707,6.68225079810314,"she"
"apologise",20,29,54197,37861,6.45512093060781,"she"
"nod",404,340,53813,37550,6.38538548169842,"she"
"cooe",4,11,54213,37879,6.38504408681769,"she"
"squeal",4,11,54213,37879,6.38504408681769,"she"
"whimper",4,11,54213,37879,6.38504408681769,"she"
"dab",2,8,54215,37882,6.32467403777876,"she"
"dab",2,8,54215,37882,6.32467403777876,"she"
"wear",2,8,54215,37882,6.32467403777876,"she"
"shake",333,285,53884,37605,6.30605336452399,"she"
"gulp",11,20,54206,37870,6.8677265320765,"she"
"drift",1,6,54216,37884,5.97788565480605,"she"
"stumble",3,9,54214,37881,5.67318254952465,"she"
"struggle",10,17,54207,37873,5.20741746438675,"she"
"trail",13,21,54204,37869,5.8542597647406,"she"
"demand",310,265,53907,37625,5.7953987224425,"she"
"decide",21,28,54196,37862,5.07870367125163,"she"
"fall",22,29,54195,37861,5.1030759950428,"she"
"mimick",7,13,54210,37877,4.61740271764186,"she"
"admit",202,176,54015,37714,4.56065773381901,"she"
"flounce",1,5,54216,37885,4.53610297506041,"she"
"lash",1,5,54216,37885,4.53610297506041,"she"
"recognise",1,5,54216,37885,4.53610297506041,"she"
"strive",1,5,54216,37885,4.53610297506041,"she"
"suppose",1,5,54216,37885,4.53610297506041,"she"
"suppose",1,5,54216,37885,4.53610297506041,"she"
"wriggle",3,8,54214,37882,4.50154198593656,"she"
"swing",42,46,54175,37844,4.42888948089536,"she"
"start",76,74,54141,37816,4.10571015453838,"she"
"respond",44,47,54173,37843,4.08319441041104,"she"
"counter",36,40,54181,37850,4.07363754849695,"she"
"spin",10,16,54207,37874,4.3783505944524,"she"
"amend",6,11,54211,37879,3.82755489373814,"she"
"notice",6,11,54211,37879,3.82755489373814,"she"
"hiss",93,87,54124,37803,3.80437396297036,"she"
"brighten",2,6,54215,37884,3.78195713484762,"she"
"cover",2,6,54215,37884,3.78195713484762,"she"
"fight",2,6,54215,37884,3.78195713484762,"she"
"hazard",2,6,54215,37884,3.78195713484762,"she"
"spring",2,6,54215,37884,3.78195713484762,"she"
"wince",8,13,54209,37877,3.66481822127489,"she"
"tease",42,44,54175,37846,3.51208488501031,"she"
"demur",3,7,54214,37883,3.39851819477518,"she"
"quaver",3,7,54214,37883,3.39851819477518,"she"
"screech",3,7,54214,37883,3.39851819477518,"she"
"follow",32,35,54185,37855,3.35080568573441,"she"
"croon",4,8,54213,37882,3.17595180396744,"she"
"flounder",4,8,54213,37882,3.17595180396744,"she"
"remonstrate",4,8,54213,37882,3.17595180396744,"she"
"comfort",1,4,54216,37886,3.16216769274011,"she"
"creep",1,4,54216,37886,3.16216769274011,"she"
"creep",1,4,54216,37886,3.16216769274011,"she"
"excuse",1,4,54216,37886,3.16216769274011,"she"
"gabble",1,4,54216,37886,3.16216769274011,"she"
"link",1,4,54216,37886,3.16216769274011,"she"
"phone",1,4,54216,37886,3.16216769274011,"she"
"sag",1,4,54216,37886,3.16216769274011,"she"
"strain",1,4,54216,37886,3.16216769274011,"she"
"surprise",1,4,54216,37886,3.16216769274011,"she"
"vanish",1,4,54216,37886,3.16216769274011,"she"
"meet",18,22,54199,37868,3.11230945495699,"she"
"tug",5,9,54212,37881,3.03959855760607,"she"
