"Word","Suffix","Stem","StemLength","Frequency"
"academic","ic","academ",6,38
"acetic","ic","acet",4,1
"acoustic","ic","acoust",6,2
"acrobatic","ic","acrobat",7,1
"aerodynamic","ic","aerodynam",9,1
"aesthetic","ic","aesthet",7,43
"alcoholic","ic","alcohol",7,6
"aldermanic","ic","alderman",8,5
"algebraic","ic","algebra",7,1
"allergic","ic","allerg",6,3
"altruistic","ic","altruist",8,1
"amoebic","ic","amoeb",5,1
"anaesthetic","ic","anaesthet",9,1
"analgesic","ic","analges",7,1
"anarchic","ic","anarch",6,2
"angelic","ic","angel",5,1
"anionic","ic","anion",5,2
"antigenic","ic","antigen",7,1
"antihaemophilic","ic","antihaemophil",13,1
"antiseptic","ic","antisept",8,1
"apathetic","ic","apathet",7,3
"apocalyptic","ic","apocalypt",9,1
"apologetic","ic","apologet",8,5
"apostolic","ic","apostol",7,2
"aquatic","ic","aquat",5,2
"archaic","ic","archa",5,2
"architectonic","ic","architecton",11,1
"arctic","ic","arct",4,1
"aristocratic","ic","aristocrat",10,4
"aromatic","ic","aromat",6,2
"artistic","ic","artist",6,29
"asthenic","ic","asthen",6,1
"asymmetric","ic","asymmetr",8,1
"asymptotic","ic","asymptot",8,5
"athletic","ic","athlet",6,5
"atmospheric","ic","atmospher",9,5
"atomic","ic","atom",4,33
"authentic","ic","authent",7,7
"autocratic","ic","autocrat",8,2
"automatic","ic","automat",7,21
"axiomatic","ic","axiomat",7,1
"ballistic","ic","ballist",7,1
"barbaric","ic","barbar",6,4
"bardic","ic","bard",4,2
"barometric","ic","barometr",8,1
"basic","ic","bas",3,81
"bimetallic","ic","bimetall",8,1
"botanic","ic","botan",5,1
"bucolic","ic","bucol",5,1
"bureaucratic","ic","bureaucrat",10,3
"cabalistic","ic","cabalist",8,1
"carbolic","ic","carbol",6,1
"catalytic","ic","catalyt",7,1
"catastrophic","ic","catastroph",10,1
"cathodic","ic","cathod",6,2
"catholic","ic","cathol",6,38
"caustic","ic","caust",5,4
"ceramic","ic","ceram",5,7
"chaotic","ic","chaot",5,4
"characteristic","ic","characterist",12,27
"cherubic","ic","cherub",6,1
"choreographic","ic","choreograph",11,1
"chromatic","ic","chromat",7,1
"chronic","ic","chron",5,12
"cinematic","ic","cinemat",7,5
"civic","ic","civ",3,12
"classic","ic","class",5,17
"claustrophobic","ic","claustrophob",12,2
"climatic","ic","climat",6,1
"comic","ic","com",3,14
"concentric","ic","concentr",8,3
"corybantic","ic","corybant",8,1
"cosmic","ic","cosm",4,5
"cryptic","ic","crypt",5,1
"crystallographic","ic","crystallograph",14,1
"cubic","ic","cub",3,9
"cyclic","ic","cycl",4,4
"cyclonic","ic","cyclon",6,1
"cystic","ic","cyst",4,1
"delphic","ic","delph",5,1
"democratic","ic","democrat",8,52
"demographic","ic","demograph",9,1
"demonic","ic","demon",5,1
"deterministic","ic","determinist",11,2
"diabetic","ic","diabet",6,11
"dielectric","ic","dielectr",8,1
"dietetic","ic","dietet",6,2
"diplomatic","ic","diplomat",8,17
"dogmatic","ic","dogmat",6,2
"domestic","ic","domest",6,51
"dramatic","ic","dramat",6,49
"drastic","ic","drast",5,18
"dualistic","ic","dualist",7,1
"dynamic","ic","dynam",5,10
"dynastic","ic","dynast",6,3
"eccentric","ic","eccentr",7,10
"eclectic","ic","eclect",6,1
