"Token","FreqCommerce","FreqRest","c","d","GStat","Frequency"
"i","193","4090","170448","909371","542.608083176809","less"
"his","269","4357","170372","909104","436.107453434434","less"
"her","35","1483","170606","911978","304.619653472778","less"
"he","561","5935","170080","907526","288.820884388802","less"
"she","49","1529","170592","911932","268.47908927498","less"
"‘","1008","8183","169633","905278","174.723245809951","less"
"him","45","1135","170596","912326","173.061808591533","less"
"was","805","6585","169836","906876","144.904576680812","less"
"my","32","887","170609","912574","144.491962092016","less"
"police","16","661","170625","912800","134.176265250585","less"
"game","2","441","170639","913020","132.892181917501","less"
"n't","106","1508","170535","911953","126.505551961311","less"
"cup","9","506","170632","912955","115.952181203259","less"
"who","254","2587","170387","910874","114.470209294824","less"
"women","8","463","170633","912998","107.136413131815","less"
"’","896","6718","169745","906743","98.3979656090537","less"
"children","16","524","170625","912937","94.5582157027737","less"
",","6349","38528","164292","874933","92.0283784099479","less"
"league","8","389","170633","913072","84.5395763122176","less"
"club","22","552","170619","912909","83.8087809343577","less"
"play","13","441","170628","913020","81.147497929395","less"
"saturday","4","298","170637","913163","74.3397906038479","less"
"hospital","6","327","170635","913134","74.1228491628335","less"
"minutes","4","297","170637","913164","74.0238738512158","less"
"season","16","449","170625","913012","73.7210124691646","less"
"players","7","337","170634","913124","72.9515576831899","less"
"me","33","603","170608","912858","69.0783046084847","less"
"!","7","322","170634","913139","68.4428103466085","less"
"when","201","1867","170440","911594","64.0203790150053","less"
"party","17","414","170624","913047","61.4519685094823","less"
"man","36","597","170605","912864","61.3113955144994","less"
"england","35","577","170606","912884","58.8380195499235","less"
"ball","2","216","170639","913245","58.6432257676984","less"
"had","342","2773","170299","910688","58.6053161807967","less"
"goal","4","246","170637","913215","58.0464304026288","less"
"goals","0","168","170641","913293","57.550438729237","less"
"night","57","755","170584","912706","56.6903115941463","less"
"injury","1","189","170640","913272","55.9536988342991","less"
"v","0","162","170641","913299","55.4948983901236","less"
"you","165","1551","170476","911910","55.1017975837704","less"
"what","98","1059","170543","912402","53.8816077501667","less"
"liverpool","14","352","170627","913109","53.5177332385234","less"
"church","7","273","170634","913188","53.938519045052","less"
"'ll","2","198","170639","913263","52.8227833312489","less"
"know","21","419","170620","913042","52.4373234862285","less"
"match","8","278","170633","913183","51.8179706523957","less"
"'m","11","310","170630","913151","51.0362721774273","less"
"am","7","257","170634","913204","49.2912919454008","less"
"men","16","359","170625","913102","49.902337157634","less"
"mother","2","184","170639","913277","48.3182473572758","less"
"woman","6","242","170635","913219","48.574281214867","less"
"race","4","212","170637","913249","47.5775208124086","less"
"here","19","372","170622","913089","45.7112564067874","less"
"old","30","473","170611","912988","45.6341093098893","less"
"?","63","741","170578","912720","45.0285870733038","less"
"championship","0","128","170641","913333","43.8470708887821","less"
"home","67","763","170574","912698","43.4575884030969","less"
"win","20","371","170621","913090","43.1715415187802","less"
"world","68","769","170573","912692","43.1703302106067","less"
"murder","0","126","170641","913335","43.1619169753937","less"
"cricket","0","125","170641","913336","42.8193405358528","less"
"alton","3","182","170638","913279","42.7579094386661","less"
"troops","0","124","170641","913337","42.4767644407248","less"
"played","5","208","170636","913253","42.3417738636513","less"
"injured","0","123","170641","913338","42.1341886905415","less"
"'d","3","177","170638","913284","41.2107220325817","less"
"parents","7","228","170634","913233","41.0082140002373","less"
"never","22","377","170619","913084","40.2277167985651","less"
"violence","0","116","170641","913345","39.7361680908814","less"
"do","138","1250","170503","912211","39.6108443155629","less"
"st","11","266","170630","913195","39.2660513004101","less"
"told","40","526","170601","912935","39.0235849225997","less"
"football","6","208","170635","913253","38.7187977615223","less"
"un","0","113","170641","913348","38.7084501476331","less"
"sex","0","112","170641","913349","38.3658781892603","less"
"test","5","194","170636","913267","38.2337353905752","less"
"essex","2","152","170639","913309","38.1151311552181","less"
"sport","0","111","170641","913350","38.0233065757728","less"
"died","4","180","170637","913281","37.9103323672047","less"
"theatre","4","178","170637","913283","37.3135596500085","less"
"did","59","662","170582","912799","36.5525563374191","less"
"mr.","0","106","170641","913355","36.3104536779469","less"
"rugby","1","129","170640","913332","36.1599491859956","less"
"playing","10","243","170631","913218","36.0051392931748","less"
"arsenal","0","104","170641","913357","35.6253149316638","less"
"them","121","1099","170520","912362","35.1249911036691","less"
"wimbledon","0","102","170641","913359","34.9401775641659","less"
"they","413","2977","170228","910484","34.7009206732608","less"
"right","36","470","170605","912991","34.4549020605699","less"
"leg","0","100","170641","913361","34.2550415757776","less"
"referee","0","100","170641","913361","34.2550415757776","less"
"love","6","192","170635","913269","34.1837129086255","less"
"himself","9","224","170632","913237","33.7973311260742","less"
"film","4","166","170637","913295","33.7545059090825","less"
"trip","0","98","170641","913363","33.5699069660876","less"
"steve","4","165","170637","913296","33.4596866665941","less"
"racing","0","97","170641","913364","33.2273401779868","less"
"dance","0","97","170641","913364","33.2273401779868","less"
"girl","0","99","170641","913362","33.912474098431","less"
"gazza","0","95","170641","913366","32.5422076366381","less"
"player","6","184","170635","913277","31.9457502654052","less"
"souness","0","93","170641","913368","31.8570764737711","less"
"school","29","396","170612","913065","31.1993816319352","less"
"wigan","0","91","170641","913370","31.1719466897099","less"
"'ve","25","362","170616","913099","31.1267412797986","less"
"incident","0","92","170641","913369","31.514511409482","less"
"israel","0","92","170641","913369","31.514511409482","less"
"like","89","845","170552","912616","30.8904238119662","less"
"ambulance","0","90","170641","913371","30.8293823147839","less"
"so","134","1152","170507","912309","30.5536131561871","less"
"title","5","167","170636","913294","30.4620965289574","less"
"friend","0","88","170641","913373","30.1442545987563","less"
