"Stem","Affix","N_ic","N_ical","P_ic","Rank"
"realist","ist",2435,1,0.9996,1
"atomist","ist",54,1,0.9818,2
"egoist","ist",50,1,0.9804,3
"syllogist","ist",8,1,0.8889,4
"atheist","ist",25,9,0.7353,5
"casuist","ist",2,1,0.6667,6
"logist","ist",148,94,0.6116,7
"pedolog","olog",2,8,0.2000,8
"hydrolog","olog",7,56,0.1111,9
"egotist","ist",4,54,0.0690,10
"pharmacolog","olog",5,72,0.0649,11
"serolog","olog",3,54,0.0526,12
"haematolog","olog",2,40,0.0476,13
"litholog","olog",1,24,0.0400,14
"petrolog","olog",1,28,0.0345,15
"etymolog","olog",1,29,0.0333,16
"morpholog","olog",11,347,0.0307,17
"immunolog","olog",3,107,0.0273,18
"philolog","olog",1,39,0.0250,19
"aetiolog","olog",1,40,0.0244,20
"mineralogic","olog",1,41,0.0238,21
"patholog","olog",4,319,0.0124,22
"histolog","olog",5,404,0.0122,23
"radiolog","olog",2,171,0.0116,24
"epidemiolog","olog",2,186,0.0106,25
"epistemolog","olog",2,206,0.0096,26
"physiolog","olog",7,778,0.0089,27
"ontolog","olog",2,279,0.0071,28
"geolog","olog",7,999,0.0070,29
"biolog","olog",6,2093,0.0029,30
"ecolog","olog",2,746,0.0027,31
"sociolog","olog",1,808,0.0012,32
"technolog","olog",2,1666,0.0012,33
"ideolog","olog",1,1696,0.0006,34
