"Token","Freq2001","Freq2017","c","d","GStat","Association"
"labour",172,338,33737,25702,108.6529736408,"2017"
"will",517,666,33392,25374,80.3237360254878,"2017"
"workers",11,61,33898,25979,52.7673231122399,"2017"
"end",6,43,33903,25997,42.1477375213871,"2017"
"that",171,247,33738,25793,41.5204113653975,"2017"
"homes",5,37,33904,26003,36.7657657475108,"2017"
"brexit",0,21,33909,26019,35.0317190302703,"2017"
"ensure",52,104,33857,25936,34.2005687315771,"2017"
"businesses",7,36,33902,26004,29.8286230210685,"2017"
"government",64,110,33845,25930,27.557590220303,"2017"
"protect",8,34,33901,26006,24.9357264788359,"2017"
"women",8,34,33901,26006,24.9357264788359,"2017"
"mental",3,24,33906,26016,24.6174775145574,"2017"
"trade",17,47,33892,25993,23.6876938960374,"2017"
"protections",0,14,33909,26026,23.3523492667127,"2017"
"across",10,36,33899,26004,23.2817154519484,"2017"
"n't",1,17,33908,26023,21.772476002249,"2017"
"crisis",2,19,33907,26021,20.7639045693959,"2017"
"rights",34,65,33875,25975,19.8112234141966,"2017"
"ownership",2,18,33907,26022,19.3007999563156,"2017"
"equality",2,18,33907,26022,19.3007999563156,"2017"
"energy",9,31,33900,26009,19.315496823984,"2017"
"reinstate",0,11,33909,26029,18.3475572814712,"2017"
"'",39,69,33870,25971,18.2755512433311,"2017"
"strategy",10,31,33899,26009,17.553439417651,"2017"
"negotiations",0,10,33909,26030,16.6793802286961,"2017"
"lgbt",0,10,33909,26030,16.6793802286961,"2017"
"relationship",0,10,33909,26030,16.6793802286961,"2017"
"security",22,46,33887,25994,16.19321079825,"2017"
"pay",21,44,33888,25996,15.537070783662,"2017"
"fit",0,9,33909,26031,15.0112466430976,"2017"
"prisons",0,9,33909,26031,15.0112466430976,"2017"
"chapter",1,12,33908,26028,14.1040940008397,"2017"
"uk",30,54,33879,25986,14.771496680221,"2017"
"review",13,32,33896,26008,14.088916272837,"2017"
"conservative",4,18,33905,26022,13.7201965248973,"2017"
"consult",2,14,33907,26026,13.5740760350147,"2017"
"arrangements",3,16,33906,26024,13.5323223603296,"2017"
"companies",10,27,33899,26013,13.2518161465138,"2017"
"country",25,46,33884,25994,13.099721550575,"2017"
"address",1,11,33908,26029,12.6027669526192,"2017"
"south",1,11,33908,26029,12.6027669526192,"2017"
"economy",31,52,33878,25988,12.3762351762462,"2017"
"ensuring",6,20,33903,26020,12.1067135144721,"2017"
"inquiry",0,7,33909,26033,11.6751098638128,"2017"
"renters",0,7,33909,26033,11.6751098638128,"2017"
"rent",0,7,33909,26033,11.6751098638128,"2017"
"shared",0,7,33909,26033,11.6751098638128,"2017"
"hate",0,7,33909,26033,11.6751098638128,"2017"
"immediately",0,7,33909,26033,11.6751098638128,"2017"
"fe",0,7,33909,26033,11.6751098638128,"2017"
"levy",1,10,33908,26030,11.1166927193323,"2017"
"scrap",1,10,33908,26030,11.1166927193323,"2017"
"introducing",1,10,33908,26030,11.1166927193323,"2017"
"conservatives",31,50,33878,25990,10.9381585689435,"2017"
"law",11,26,33898,26014,10.8701292378611,"2017"
"act",11,26,33898,26014,10.8701292378611,"2017"
"including",27,45,33882,25995,10.5650759924033,"2017"
"deliver",17,33,33892,26007,10.3135529816655,"2017"
"unions",4,15,33905,26025,10.0205927564417,"2017"
"lives",4,15,33905,26025,10.0205927564417,"2017"
"entitlements",0,6,33909,26034,10.0071066653297,"2017"
"personnel",0,6,33909,26034,10.0071066653297,"2017"
"media",0,6,33909,26034,10.0071066653297,"2017"
"insecure",0,6,33909,26034,10.0071066653297,"2017"
"replace",0,6,33909,26034,10.0071066653297,"2017"
"negotiating",0,6,33909,26034,10.0071066653297,"2017"
"publish",0,6,33909,26034,10.0071066653297,"2017"
"truly",0,6,33909,26034,10.0071066653297,"2017"
"gender",0,6,33909,26034,10.0071066653297,"2017"
"profit",0,6,33909,26034,10.0071066653297,"2017"
"investments",0,6,33909,26034,10.0071066653297,"2017"
"recognises",0,6,33909,26034,10.0071066653297,"2017"
"reintroduce",0,6,33909,26034,10.0071066653297,"2017"
"resolution",0,6,33909,26034,10.0071066653297,"2017"
"refugees",0,6,33909,26034,10.0071066653297,"2017"
"suppliers",0,6,33909,26034,10.0071066653297,"2017"
"discrimination",3,13,33906,26027,9.65925613613216,"2017"
"east",1,9,33908,26031,9.64892717483329,"2017"
"forms",1,9,33908,26031,9.64892717483329,"2017"
"banks",1,9,33908,26031,9.64892717483329,"2017"
"different",2,11,33907,26029,9.4637308550264,"2017"
"supply",2,11,33907,26029,9.4637308550264,"2017"
"result",2,11,33907,26029,9.4637308550264,"2017"
"same",2,11,33907,26029,9.4637308550264,"2017"
"when",13,26,33896,26014,8.53336811930977,"2017"
"held",3,12,33906,26028,8.42150162982355,"2017"
"air",2,10,33907,26030,8.14455009584096,"2017"
"communities",28,43,33881,25997,8.3977330835143,"2017"
"lifelong",0,5,33909,26035,8.3391469244364,"2017"
"ministry",0,5,33909,26035,8.3391469244364,"2017"
"punitive",0,5,33909,26035,8.3391469244364,"2017"
"delivers",0,5,33909,26035,8.3391469244364,"2017"
"fire",0,5,33909,26035,8.3391469244364,"2017"
"smes",0,5,33909,26035,8.3391469244364,"2017"
"animals",0,5,33909,26035,8.3391469244364,"2017"
"diplomatic",0,5,33909,26035,8.3391469244364,"2017"
"hiv",0,5,33909,26035,8.3391469244364,"2017"
"missions",0,5,33909,26035,8.3391469244364,"2017"
"forced",0,5,33909,26035,8.3391469244364,"2017"
"taxation",0,5,33909,26035,8.3391469244364,"2017"
"neglect",0,5,33909,26035,8.3391469244364,"2017"
"restore",0,5,33909,26035,8.3391469244364,"2017"
"let",0,5,33909,26035,8.3391469244364,"2017"
"duties",0,5,33909,26035,8.3391469244364,"2017"
"immediate",0,5,33909,26035,8.3391469244364,"2017"
"privatisation",1,8,33908,26032,8.2035521633552,"2017"
"administrations",1,8,33908,26032,8.2035521633552,"2017"
"apprenticeships",1,8,33908,26032,8.2035521633552,"2017"
"publicly",1,8,33908,26032,8.2035521633552,"2017"
"skilled",1,8,33908,26032,8.2035521633552,"2017"
"convention",1,8,33908,26032,8.2035521633552,"2017"
"enforce",1,8,33908,26032,8.2035521633552,"2017"
"england",6,16,33903,26024,7.74220213703072,"2017"
"existing",4,13,33905,26027,7.69080607853613,"2017"
"fees",4,13,33905,26027,7.69080607853613,"2017"
"scheme",4,13,33905,26027,7.69080607853613,"2017"
"sector",21,34,33888,26006,7.49743628282093,"2017"
"would",11,22,33898,26018,7.21981594245296,"2017"
"devolved",3,11,33906,26029,7.21721842475644,"2017"
"failed",3,11,33906,26029,7.21721842475644,"2017"
"many",25,39,33884,26001,7.9048880902001,"2017"
"jobs",20,32,33889,26008,6.87267670381603,"2017"
"democratic",2,9,33907,26031,6.85888737083441,"2017"
"remove",2,9,33907,26031,6.85888737083441,"2017"
"does",2,9,33907,26031,6.85888737083441,"2017"
"close",2,9,33907,26031,6.85888737083441,"2017"
"contributions",2,9,33907,26031,6.85888737083441,"2017"
"export",2,9,33907,26031,6.85888737083441,"2017"
"bank",2,9,33907,26031,6.85888737083441,"2017"
"used",2,9,33907,26031,6.85888737083441,"2017"
"rule",1,7,33908,26033,6.78619401610444,"2017"
"require",1,7,33908,26033,6.78619401610444,"2017"
"fishing",1,7,33908,26033,6.78619401610444,"2017"
"buy",1,7,33908,26033,6.78619401610444,"2017"
"such",9,19,33900,26021,6.78178862747447,"2017"
"industrial",6,15,33903,26025,6.72860042923068,"2017"
"regular",0,4,33909,26036,6.67123063874386,"2017"
"chain",0,4,33909,26036,6.67123063874386,"2017"
"experiences",0,4,33909,26036,6.67123063874386,"2017"
"appoint",0,4,33909,26036,6.67123063874386,"2017"
"chains",0,4,33909,26036,6.67123063874386,"2017"
"understand",0,4,33909,26036,6.67123063874386,"2017"
"coverage",0,4,33909,26036,6.67123063874386,"2017"
"hs2",0,4,33909,26036,6.67123063874386,"2017"
"largest",0,4,33909,26036,6.67123063874386,"2017"
"dumping",0,4,33909,26036,6.67123063874386,"2017"
"blacklisting",0,4,33909,26036,6.67123063874386,"2017"
"borders",0,4,33909,26036,6.67123063874386,"2017"
"uc",0,4,33909,26036,6.67123063874386,"2017"
"2020",0,4,33909,26036,6.67123063874386,"2017"
"wide",0,4,33909,26036,6.67123063874386,"2017"
"shareholders",0,4,33909,26036,6.67123063874386,"2017"
"narrow",0,4,33909,26036,6.67123063874386,"2017"
"flood",0,4,33909,26036,6.67123063874386,"2017"
"crossrail",0,4,33909,26036,6.67123063874386,"2017"
"staffing",0,4,33909,26036,6.67123063874386,"2017"
"unscrupulous",0,4,33909,26036,6.67123063874386,"2017"
"sold",0,4,33909,26036,6.67123063874386,"2017"
"housebuilding",0,4,33909,26036,6.67123063874386,"2017"
"networks",0,4,33909,26036,6.67123063874386,"2017"
"legislating",0,4,33909,26036,6.67123063874386,"2017"
"bame",0,4,33909,26036,6.67123063874386,"2017"
"ongoing",0,4,33909,26036,6.67123063874386,"2017"
"partner",0,4,33909,26036,6.67123063874386,"2017"
"unpaid",0,4,33909,26036,6.67123063874386,"2017"
