"TokenID","FileID","SemCat","MetCat","Adj","Noun","Example"
20084,"A1F","metaph","activity","cold","war","Propaganda campaigns , class struggle , the cult of the model worker and even the almost evangelical rhetoric of the [cold war] are all back with a vengeance ."
57173,"A1M","lit","n/a","cool","solutions","[Cool solutions] for hot climates : David Spark looks at tropical temperature controls for vaccines"
57176,"A1M","lit","n/a","hot","climates","Cool solutions for [hot climates] : David Spark looks at tropical temperature controls for vaccines"
57330,"A1M","lit","n/a","cold","chain'","Since 1978 , it has also tested equipment used in the ‘ [cold chain'] — the succession of insulated containers which ensures that vaccines and other sensitive materials reach their destinations , often isolated villages without electricity , in good condition , on which WHO 's immunisation campaign depends ."
57439,"A1M","lit","n/a","cold","chain","Other laboratories test particular products , but CRL is probably the only one which can cover the full range of equipment needed in the [cold chain] ."
57544,"A1M","lit","n/a","cold","boxes","Other items on test include the [cold boxes] in which vaccines are carried to villages , sterilisers for the syringes , stoves for the sterilisers and thermometers ."
59010,"A1M","lit","n/a","hot","summers","How [hot summers] brought us stripped pines : Scientists now believe a dramatic loss of conifer needles which struck West German forests may have been caused by the weather , rather than pollution ."
65815,"A1N","metaph","temperament","cold","facts","Yet what pleased the Bath coach Jack Rowell more than the [cold facts] and figures was that his team had come to terms with Neath 's ‘ unique style of total rugby ’ ."
77623,"A1P","lit","n/a","hot","tea","They were welcomed by government officals , Red Cross teams with [hot tea] , soup and nappies , and local people with clothes and toys ."
86823,"A1X","FALSE","n/a","cold","sores","‘ I developed chronic asthma and eczema and [cold sores] ."
111844,"A3C","lit","n/a","cold","hours","It seems all the more of a waste if those long , [cold hours] only result in stale fish ."
115362,"A3C","lit","n/a","cold","drinks","Italian-style [cold drinks] , such as iced coffee granita or a zingy blend of fresh fruit juices and grenadine , are also worth exploring ."
116382,"A3C","lit","n/a","hot","meal","In the compact bar space at the back of the store you can perch on a stool and eat tapas , sandwiches or a [hot meal] , washed down with cappuccino or Spanish beer ."
116416,"A3C","lit","n/a","hot","cup","The Ricots make paella almost every day by popular demand ; the Saturday special is churros ( fried twisted dough ) and a [hot cup] of chocolate for £1 ."
116602,"A3C","lit","n/a","hot","Vimto","There can be few other places in the world where you can wash down a chopped herring sandwich with a glass of [hot Vimto] ."
117071,"A3C","metaph","affection","warm","affinities","I am sure the [warm affinities] between Scots and Jews arise out of appreciation of herrings ."
117618,"A3E","lit","n/a","cold","areas","Globe artichokes are sprouting new leaves and may need protection from frost in [cold areas] ."
132335,"A3P","lit","n/a","hot","chocolate","We sat there drinking [hot chocolate] and watching the clouds scrape raggedly past ."
134315,"A3P","lit","n/a","hot","waffle","Plenty have terraces from which to watch the world go by accompanied by a [hot waffle] or a glass of beer ."
138706,"A4D","metaph","temperament","cool","look","Tomorrow he delivers a lecture Beyond the Rhetoric : a [cool look] at architectural judgement as the first in a series by new professors at Leeds Polytechnic ."
149662,"A6U","lit","n/a","hot","summer","The archetypal dropout/spiritualist became an appropriate icon for the sixties revival of 1990 's long [hot summer] ."
183005,"A7T","lit","n/a","hot","weather","In the UK , the company says that was because of the [hot weather] , and the train dispute which clearly affected traffic past their many shops in railway stations ."
248932,"A8M","metaph","activity","cold","storage","The project went into [cold storage] , periodically resurfacing over the next six years only to sink once more ."
258233,"A8N","metaph","evaluation","hot","handicap","He ran well when third to Highland Bounty in a [hot handicap] at Cheltenham recently ."
269857,"A8R","metaph","evaluation","hot","multimedia_system","The hot , [hot multimedia] system out there right now was developed by Robert Abel , the noted Hollywood middleman and go-getter extraordinaire ."
272676,"A8R","metaph","evaluation","hot","shot","[Hot Shot] 's monthly releases gave you 45 minutes of video excerpts of the latest computer games for only £5 ."
300057,"A9J","metaph","temperament","cold","calculation","It is partly the [cold calculation] that the Israelis must be made to realise that there can , in the end , be no such thing as ‘ the low-cost ’ occupation they like to imagine there is ."
301869,"A9X","lit","n/a","hot","summers","In his comprehensive Apples Of England , Dr Taylor states that ‘ In England this variety only reaches full maturity in years of [hot summers] , ’ and goes on to say that ‘ Indeed , November- December-picked Sturmers are the best , ’ and , with a basket-full of fine specimens picked for the first time ever in the latter month , I agree ."
302431,"AA3","metaph","temperament","cool","response","This [cool response] almost certainly reflects legal caution , but also a bland faith in the regulatory system ."
314486,"AAM","lit","n/a","warm","room","Fill him up with food and booze , direct him to a [warm room] and then pray hard ."
325675,"AB9","metaph","temperament","cool","customer","McLeish decided it was unlikely that that sort of consideration very much exercised this [cool customer] ."
331875,"AB9","lit","n/a","cold","hands","He clipped the lead on to the dog with [cold hands] which would hardly function , and let her pull him up the slope as fast as he could make his legs move ."
337839,"AB9","lit","n/a","cold","day","He waited tactfully with Catherine and the young constable on the embankment , liking the sweep of the country as it spread out in the raw , [cold day] ."
340205,"AB9","lit","n/a","cold","night","Even in the twenty minutes it had taken to get some nourishment , the light had faded and the dull day was darkening into a [cold night] ; the beginnings of a frost crackled under their feet as they walked briskly along the embankment ."
340295,"AB9","lit","n/a","cold","night","A bad , [cold night] to lie out in ."
347342,"AB9","lit","n/a","cold","field","In a windy , [cold field] in Cambridgeshire , green with winter wheat , half a mile away from where Angela Morgan 's body had been found , a small man with a narrow , turned-down mouth sat smoking his twentieth cigarette of the day at the wheel of a Land Rover ."
349576,"AB9","metaph","synesthesia","cool","voice","Her [cool voice] , with the slight nasal edge of Stoke on Trent , came from behind him , and Timothy Hutton looked up sharply ."
360519,"AB9","lit","n/a","warm","bed","He found at the edge of his consciousness the wish that he was just going to his own flat to crash out rather than back to share Catherine 's [warm bed] ."
371259,"AC2","metaph","affection","cold","disapproval","‘ Sure could , ’ added Mueller eagerly , and received a look of [cold disapproval] from the Vice President in charge of Overseas ' Operations for his unwarranted opinion ."
379491,"AC2","metaph","evaluation","hot","favourite","And you are the [hot favourite] , bonny lass ."
381538,"AC2","lit","n/a","hot","bath","A [hot bath] , followed by a cold shower worked wonders for his circulation , and he was now able to move more freely , though still with a pronounced limp ."
381544,"AC2","lit","n/a","cold","shower","A hot bath , followed by a [cold shower] worked wonders for his circulation , and he was now able to move more freely , though still with a pronounced limp ."
384880,"AC2","metaph","activity","hot","seat","He was in the [hot seat] for more than three hours ."
386771,"AC2","lit","n/a","hot","bath","After lying in a [hot bath] for an unusually long time , he stretched out on the bed , eyes closed , hoping that the pains would go away ."
393950,"AC2","metaph","affection","warm","smile","It 's such a change to hear someone say what he really believes … . ’ and a [warm smile] blazed ."
397753,"AC2","lit","n/a","hot","water","He had been stripped naked in the oil store , where the incident had occurred during their very first month as apprentices , and his clothes triumphantly borne aloft to the plating shop to be washed in one of the [hot water] tanks ."
399955,"AC2","lit","n/a","warm","evening","Outwardly he was calm and composed as he walked in the [warm evening] sunshine towards the House , but like the swans gliding serenely across the water , he too was paddling like hell underneath ."
400595,"AC2","lit","n/a","cold","night","It was a [cold night] in late autumn and the rain had lashed down unremittingly ."
409180,"AC2","lit","n/a","hot","line","The white , [hot line] certainly would n't ."
469325,"AHC","FALSE","n/a","cool","Ground","There remains one major difference between the punter 's chances with , say , [Cool Ground] or Twin Oaks at Aintree and his prospects with Messrs Major , Kinnock or Ashdown ."
471521,"AHC","FALSE","n/a","cool","Ground","The Gold Cup has had a greater than usual bearing in the Grand National build-up this year , with [Cool Ground] , the winner , and Docklands Express , the close third , renewing rivalry ."
471558,"AHC","FALSE","n/a","cool","Ground","Adrian Maguire 's injury robs the young Irishman of the chance of a rare double , and the prospects of [Cool Ground] , now to be ridden by Martin Lynch , may not be quite as obvious as the ground dries ."
471581,"AHC","FALSE","n/a","cool","Ground","But [Cool Ground] is a dour stayer with a wealth of experience , who should adapt to Aintree ."
471841,"AHC","FALSE","n/a","cool","Ground","But his latest third there behind [Cool Ground] in the Greenalls Gold Cup suggests he will find the Gold Cup winner too strong again on these terms ."
471999,"AHC","FALSE","n/a","cool","Ground","Auntie Dot , third 12 months ago , Rawhide and New Halen , are others to consider , as is the consistent Romany King , second-string for the Toby Balding stable behind [Cool Ground] , and a good fourth in the Ritz Club Chase at Cheltenham last time ."
472116,"AHC","FALSE","n/a","cool","Ground","In the hope that Willsford adapts to the place , I take him to come home first , ahead of [Cool Ground] , Brown Windsor and Stay On Tracks ."
473028,"AHC","FALSE","n/a","cool","Ground","The whole story is that I was asked to ride Docklands Express , [Cool Ground] , Auntie Dot and Bonanza Boy in home gallops for the television cameras and then to compare the quartet ."
473072,"AHC","FALSE","n/a","cool","Ground","Even leading up to the filming , there were doubts about Adrian Maguire riding [Cool Ground] as he had a previous tie to Omerta ."
473327,"AHC","FALSE","n/a","cool","Ground","However , when I got to Liverpool on Thursday and saw the state of the ground , instead of thinking about such horses as Laura 's Beau , Rubika and [Cool Ground] as the major chances , suddenly it was the good-ground types such as Docklands Express who re-entered calculations ."
473352,"AHC","FALSE","n/a","cool","Ground","When I sat on [Cool Ground] I was impressed with him too ."
473431,"AHC","FALSE","n/a","cool","Ground","In fact , [Cool Ground] worked with Romany King and Sirrah Jay , and they actually worked better than he did ."
473462,"AHC","FALSE","n/a","cool","Ground","Although , when we came back from one of our canters , [Cool Ground] was very bright ."
473838,"AHC","FALSE","n/a","cool","Ground","Twin Oaks looks a great type for the fences and may be the hardest to beat but I also have a healthy respect for [Cool Ground] and Brown Windsor ."
474573,"AHC","FALSE","n/a","cool","Ground","It may well be , but the question of how much the Gold Cup took out of [Cool Ground] and Docklands Express will only be answered when the heat is on ."
474601,"AHC","FALSE","n/a","cool","Ground","The dismal post-war record of Gold Cup winners is hard to ignore and [Cool Ground] is no Prince Regent ."
483725,"AHC","FALSE","n/a","cool","Ground","MARTIN LYNCH realised the wildest dream of every jump jockey when , at the 11th hour , he picked up the mount on strongly-fancied contender [Cool Ground] in today 's Martell Grand National at Aintree ."
483804,"AHC","FALSE","n/a","cool","Ground","The jockey merry-go-round kept whirring at a fierce pace as Adrian Maguire , who rode [Cool Ground] to win the Gold Cup , joined the rapidly-growing casualty list at Liverpool after falling with Sibton Abbey in the Perrier Jouet Handicap Chase ."
483842,"AHC","FALSE","n/a","cool","Ground","His injuries forced him to give up the coveted mount on [Cool Ground] ."
483884,"AHC","FALSE","n/a","cool","Ground","Trainer Toby Balding set about finding a replacement , and after consultation with Peter Bolton , owner of [Cool Ground] and of Whitcombe Manor Racing Stables , came up with Lynch , 33 , originally from Co Meath but based in Britain ."
484046,"AHC","FALSE","n/a","cool","Ground","Balding has long held the opinion that Jimmy Frost should ride [Cool Ground] , but after the West Country rider was beaten on the gelding at Newcastle earlier in the season , Bolton plumped for Maguire ."
484135,"AHC","FALSE","n/a","cool","Ground","‘ But it is the owner 's view that Jimmy does not suit [Cool Ground] , and he says he prefers a jockey who sits still and allows the horse to take him along to his fences ."
484694,"AHC","FALSE","n/a","cool","Ground","[Cool Ground] is now 10–1 , having been as short as 6–1 favourite yesterday morning ."
511789,"AHC","lit","n/a","cold","room","Last Sunday I sat in a [cold room] with my daughter , the two of us reviling the malign fate which had robbed us of Voyage to the Bottom of the Sea , our weekly TV fix ."
518315,"AHE","lit","n/a","hot","showers","DUVETS , phonecards , [hot showers] and video films will greet inmates at Britain 's first privately-run prison when it opens on Monday ."
519751,"AHF","FALSE","n/a","cool","Ground","Docklands Express , which will be ridden by the champion jockey , Peter Scudamore , became the Grand National favourite at 8–1 after Adrian Maguire , 20 , broke his shoulder in a fall yesterday and lost his ride on [Cool Ground] , which drifted to 9–1 ."
526609,"AHF","lit","n/a","cold","store","But the effect seemed diluted as he then toured the docks ' [cold store] which was stuffed full of apples ."
539631,"AHF","metaph","activity","cold","war","This time the communist threat has been absent ; this is the first general election in a major European country since the [Cold War] ended and the Berlin Wall fell ."
