"Word","Electric","Electrical","c","d","GStat","Association"
"engineering",0,108,2832,1921,192.155410246783,"electrical"
"engineer",0,89,2832,1940,157.841521334624,"electrical"
"equipment",6,106,2826,1923,147.963093203514,"electrical"
"goods",1,88,2831,1941,146.119804989242,"electrical"
"activity",1,85,2831,1944,140.794153692421,"electrical"
"appliance",3,69,2829,1960,100.175734209633,"electrical"
"conductivity",0,35,2832,1994,61.5137128862365,"electrical"
"fault",0,34,2832,1995,59.7462565189791,"electrical"
"signal",8,53,2824,1976,54.5024482307519,"electrical"
"stimulation",0,26,2832,2003,45.6277447889228,"electrical"
"union",0,26,2832,2003,45.6277447889228,"electrical"
"energy",2,33,2830,1996,44.7814924535317,"electrical"
"impulse",2,32,2830,1997,43.1354879493866,"electrical"
"retailer",0,21,2832,2008,36.8226961228705,"electrical"
"property",0,20,2832,2009,35.0634364130477,"electrical"
"work",0,19,2832,2010,33.3047590856413,"electrical"
"control",1,23,2831,2006,33.1002973183347,"electrical"
"system",6,31,2826,1998,28.0594333955953,"electrical"
"circuit",10,37,2822,1992,27.063158652186,"electrical"
"recording",1,19,2831,2010,26.4369853256406,"electrical"
"breakdown",0,13,2832,2016,22.7649022261573,"electrical"
"store",0,13,2832,2016,22.7649022261573,"electrical"
"apparatus",0,11,2832,2018,19.2562571340373,"electrical"
"component",0,11,2832,2018,19.2562571340373,"electrical"
"connection",0,11,2832,2018,19.2562571340373,"electrical"
"insulation",0,11,2832,2018,19.2562571340373,"electrical"
"installation",1,14,2831,2015,18.2470934320087,"electrical"
"contractor",0,10,2832,2019,17.5028028549095,"electrical"
"machinery",0,10,2832,2019,17.5028028549095,"electrical"
"problem",0,10,2832,2019,17.5028028549095,"electrical"
"product",0,10,2832,2019,17.5028028549095,"electrical"
"repair",0,10,2832,2019,17.5028028549095,"electrical"
"potential",4,19,2828,2010,16.344165761027,"electrical"
"contact",0,9,2832,2020,15.749926879092,"electrical"
"retailing",0,9,2832,2020,15.749926879092,"electrical"
"resistance",1,12,2831,2017,15.0350919744889,"electrical"
"market",0,8,2832,2021,13.9976288011696,"electrical"
"part",0,8,2832,2021,13.9976288011696,"electrical"
"time",0,8,2832,2021,13.9976288011696,"electrical"
"discharge",5,18,2827,2011,12.8308730988461,"electrical"
"shop",5,18,2827,2011,12.8308730988461,"electrical"
"interference",0,7,2832,2022,12.2459082161719,"electrical"
"job",0,7,2832,2022,12.2459082161719,"electrical"
"output",0,7,2832,2022,12.2459082161719,"electrical"
"machine",3,13,2829,2016,10.5492408482757,"electrical"
"conductor",0,6,2832,2023,10.4947647195811,"electrical"
"phenomenon",0,6,2832,2023,10.4947647195811,"electrical"
"review",0,6,2832,2023,10.4947647195811,"electrical"
"trade",0,6,2832,2023,10.4947647195811,"electrical"
"response",2,11,2830,2018,10.2464285866428,"electrical"
"device",3,12,2829,2017,9.2262760031279,"electrical"
"fitting",1,8,2831,2021,8.79602594182967,"electrical"
"firm",0,5,2832,2024,8.74419790732585,"electrical"
"item",0,5,2832,2024,8.74419790732585,"electrical"
"load",0,5,2832,2024,8.74419790732585,"electrical"
"method",0,5,2832,2024,8.74419790732585,"electrical"
"noise",0,5,2832,2024,8.74419790732585,"electrical"
"wiring",9,18,2823,2011,6.84471652053509,"electrical"
"accessory",0,4,2832,2025,6.9942073757876,"electrical"
"conspiracy",0,4,2832,2025,6.9942073757876,"electrical"
"department",0,4,2832,2025,6.9942073757876,"electrical"
"giant",0,4,2832,2025,6.9942073757876,"electrical"
"hazard",0,4,2832,2025,6.9942073757876,"electrical"
"project",0,4,2832,2025,6.9942073757876,"electrical"
"supplier",0,4,2832,2025,6.9942073757876,"electrical"
"technician",0,4,2832,2025,6.9942073757876,"electrical"
"force",6,13,2826,2016,5.52230686113237,"electrical"
"attraction",0,3,2832,2026,5.24479272178891,"electrical"
"axis",0,3,2832,2026,5.24479272178891,"electrical"
"behaviour",0,3,2832,2026,5.24479272178891,"electrical"
"building",0,3,2832,2026,5.24479272178891,"electrical"
"business",0,3,2832,2026,5.24479272178891,"electrical"
"conduit",0,3,2832,2026,5.24479272178891,"electrical"
"connector",0,3,2832,2026,5.24479272178891,"electrical"
"disruption",0,3,2832,2026,5.24479272178891,"electrical"
"division",0,3,2832,2026,5.24479272178891,"electrical"
"event",0,3,2832,2026,5.24479272178891,"electrical"
"experiment",0,3,2832,2026,5.24479272178891,"electrical"
"frequency",0,3,2832,2026,5.24479272178891,"electrical"
"information",0,3,2832,2026,5.24479272178891,"electrical"
"knowledge",0,3,2832,2026,5.24479272178891,"electrical"
"neutrality",0,3,2832,2026,5.24479272178891,"electrical"
"officer",0,3,2832,2026,5.24479272178891,"electrical"
"parameter",0,3,2832,2026,5.24479272178891,"electrical"
"plant",0,3,2832,2026,5.24479272178891,"electrical"
"resistivity",0,3,2832,2026,5.24479272178891,"electrical"
"sector",0,3,2832,2026,5.24479272178891,"electrical"
"testing",0,3,2832,2026,5.24479272178891,"electrical"
"transmission",0,3,2832,2026,5.24479272178891,"electrical"
"wholesaler",0,3,2832,2026,5.24479272178891,"electrical"
"network",1,5,2831,2024,4.41607436075121,"electrical"
"repulsion",1,5,2831,2024,4.41607436075121,"electrical"
"thing",1,5,2831,2024,4.41607436075121,"electrical"
"storm",6,11,2826,2018,3.64305452586888,"electrical"
"balance",0,2,2832,2027,3.49595354260559,"electrical"
"branch",0,2,2832,2027,3.49595354260559,"electrical"
"burn",0,2,2832,2027,3.49595354260559,"electrical"
"cabinet",0,2,2832,2027,3.49595354260559,"electrical"
"chain",0,2,2832,2027,3.49595354260559,"electrical"
"characteristic",0,2,2832,2027,3.49595354260559,"electrical"
"condensor",0,2,2832,2027,3.49595354260559,"electrical"
"conductance",0,2,2832,2027,3.49595354260559,"electrical"
"conduction",0,2,2832,2027,3.49595354260559,"electrical"
"consumer",0,2,2832,2027,3.49595354260559,"electrical"
"death",0,2,2832,2027,3.49595354260559,"electrical"
"defect",0,2,2832,2027,3.49595354260559,"electrical"
"desk",0,2,2832,2027,3.49595354260559,"electrical"
"diagram",0,2,2832,2027,3.49595354260559,"electrical"
"disturbance",0,2,2832,2027,3.49595354260559,"electrical"
"earth",0,2,2832,2027,3.49595354260559,"electrical"
"efficiency",0,2,2832,2027,3.49595354260559,"electrical"
"enclosure",0,2,2832,2027,3.49595354260559,"electrical"
"failure",0,2,2832,2027,3.49595354260559,"electrical"
"filter",0,2,2832,2027,3.49595354260559,"electrical"
"input",0,2,2832,2027,3.49595354260559,"electrical"
"instability",0,2,2832,2027,3.49595354260559,"electrical"
"insulator",0,2,2832,2027,3.49595354260559,"electrical"
"isolation",0,2,2832,2027,3.49595354260559,"electrical"
"know-how",0,2,2832,2027,3.49595354260559,"electrical"
"manufacturing",0,2,2832,2027,3.49595354260559,"electrical"
"means",0,2,2832,2027,3.49595354260559,"electrical"
"mechanism",0,2,2832,2027,3.49595354260559,"electrical"
"nerve",0,2,2832,2027,3.49595354260559,"electrical"
"place",0,2,2832,2027,3.49595354260559,"electrical"
"regulation",0,2,2832,2027,3.49595354260559,"electrical"
"safety",0,2,2832,2027,3.49595354260559,"electrical"
"science",0,2,2832,2027,3.49595354260559,"electrical"
"sub-station",0,2,2832,2027,3.49595354260559,"electrical"
"substation",0,2,2832,2027,3.49595354260559,"electrical"
"supervisor",0,2,2832,2027,3.49595354260559,"electrical"
"surge",0,2,2832,2027,3.49595354260559,"electrical"
"tool",0,2,2832,2027,3.49595354260559,"electrical"
"tracing",0,2,2832,2027,3.49595354260559,"electrical"
"voltage",0,2,2832,2027,3.49595354260559,"electrical"
"wave",0,2,2832,2027,3.49595354260559,"electrical"
"distribution",1,4,2831,2025,3.06920596184332,"electrical"
"test",1,4,2831,2025,3.06920596184332,"electrical"
"worker",1,4,2831,2025,3.06920596184332,"electrical"
"generator",4,7,2828,2022,2.13822386513393,"electrical"
"wire",7,10,2825,2019,2.01002747265518,"electrical"
"gear",1,3,2831,2026,1.82554616309592,"electrical"
"rhythm",2,4,2830,2025,1.51437760166917,"electrical"
"access",0,1,2832,2028,1.7476894359539,"electrical"
"accident",0,1,2832,2028,1.7476894359539,"electrical"
"aid",0,1,2832,2028,1.7476894359539,"electrical"
"apprenticeship",0,1,2832,2028,1.7476894359539,"electrical"
"arrangement",0,1,2832,2028,1.7476894359539,"electrical"
"assembly",0,1,2832,2028,1.7476894359539,"electrical"
"association",0,1,2832,2028,1.7476894359539,"electrical"
"authority",0,1,2832,2028,1.7476894359539,"electrical"
"barrier",0,1,2832,2028,1.7476894359539,"electrical"
"baseline",0,1,2832,2028,1.7476894359539,"electrical"
"bee",0,1,2832,2028,1.7476894359539,"electrical"
"benefit",0,1,2832,2028,1.7476894359539,"electrical"
